,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,52,四川攀枝花龙洞,干流,0.14102564102564086,0.7256097560975612,0.9219858156028368,0.9768211920529802,I ,I ,
1,53,重庆朱沱 ,干流（川-渝省界） ,0.25882352941176456,0.6920731707317074,0.8274231678486996,0.9337748344370862,II ,II ,  
2,54,湖北宜昌南津关 ,干流（三峡水库出口） ,0.30379746835443067,1.0,0.33096926713947983,0.8940397350993378,II ,II ,  
3,55,湖南岳阳城陵矶 ,干流 ,0.19130434782608685,0.6585365853658536,0.4491725768321512,0.913907284768212,II ,III ,  
4,56,江西九江河西水厂 ,干流（鄂-赣省界） ,0.2682926829268292,0.5167682926829268,0.6382978723404256,0.966887417218543,II ,II ,  
5,57,安徽安庆皖河口 ,干流 ,0.24719101123595488,0.4359756097560976,0.0,0.8841059602649006,III ,II ,  
6,58,江苏南京林山 ,干流（皖-苏省界） ,0.20952380952380933,0.3917682926829269,0.8274231678486996,1.0,II ,II ,  
7,59,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.17741935483870952,0.34756097560975613,0.33096926713947983,0.5463576158940397,IV ,IV ,氨氮 
8,60,四川宜宾凉姜沟 ,岷江（入长江前） ,0.18644067796610153,0.7743902439024389,0.5673758865248226,0.9238410596026491,II ,II ,  
9,61,四川泸州沱江二桥 ,沱江（入长江前） ,0.5111111111111104,0.5625000000000001,0.37825059101654845,0.837748344370861,III ,III ,  
10,62,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.36585365853658613,0.46798780487804886,0.6619385342789597,0.9735099337748344,II ,II ,  
11,63,湖南长沙新港 ,湘江（洞庭湖入口） ,0.2682926829268292,0.4054878048780488,0.5910165484633569,0.7649006622516556,III ,III ,  
12,64,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.9781021897810217,0.7256097560975612,0.35460992907801414,0.9105960264900662,II ,II ,  
13,65,湖北武汉宗关 ,汉江（入长江前） ,0.1880341880341878,0.34756097560975613,0.5910165484633569,0.8973509933774835,II ,III ,  
14,66,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.858974358974359,0.0,1.0,0.0,劣V ,劣V ,氨氮 
15,67,江西九江蛤蟆石 ,鄱阳湖出口 ,0.9781021897810217,0.4725609756097561,0.5200945626477541,0.9271523178807947,II ,II ,
16,68,江苏扬州三江营 ,夹江（南水北调取水口） ,0.17599999999999993,0.26219512195121947,0.9219858156028368,0.8774834437086092,III ,II ,  
