,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,426,四川攀枝花龙洞,干流,0.2831325301204819,0.9849624060150376,0.0833333333333334,0.9821428571428571,Ⅱ  ,Ⅱ  ,
1,427,重庆朱沱 ,干流（川-渝省界） ,0.24479166666666663,0.8984962406015039,0.6249999999999999,0.8928571428571429,Ⅱ  ,Ⅱ  ,   
2,428,湖北宜昌南津关 ,干流（三峡水库出口） ,0.4017094017094015,0.680451127819549,0.6666666666666666,0.9196428571428572,Ⅱ  ,Ⅱ  ,   
3,429,湖南岳阳城陵矶 ,干流 ,0.3381294964028776,1.0,0.4583333333333333,0.6875000000000001,Ⅱ  ,Ⅲ  ,   
4,430,江西九江河西水厂 ,干流（鄂-赣省界） ,0.6238532110091741,0.7142857142857143,0.4583333333333333,0.9910714285714286,Ⅱ  ,Ⅱ  ,   
5,431,安徽安庆皖河口 ,干流 ,0.8188976377952752,0.7030075187969926,0.41666666666666663,0.8303571428571429,Ⅱ  ,Ⅱ  ,   
6,432,江苏南京林山 ,干流（皖-苏省界） ,0.5436893203883499,0.6710526315789475,0.1666666666666668,0.9642857142857143,Ⅱ  ,Ⅱ  ,   
7,433,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.7179487179487178,0.3477443609022558,0.0,0.75,Ⅲ  ,Ⅱ  ,   
8,434,四川宜宾凉姜沟 ,岷江（入长江前） ,0.23857868020304562,0.7067669172932332,0.3750000000000001,1.0,Ⅱ  ,Ⅱ  ,   
9,435,四川泸州沱江二桥 ,沱江（入长江前） ,0.3700787401574802,0.6259398496240602,0.7916666666666667,0.9642857142857143,Ⅱ  ,Ⅱ  ,   
10,436,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.35338345864661636,0.798872180451128,0.9166666666666666,0.9910714285714286,Ⅰ  ,Ⅰ  ,   
11,437,湖南长沙新港 ,湘江（洞庭湖入口） ,0.9795918367346937,0.5770676691729324,1.0,0.5267857142857143,Ⅲ  ,Ⅱ  ,   
12,438,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.3219178082191779,0.8571428571428573,0.4583333333333333,0.7053571428571429,Ⅱ  ,Ⅱ  ,   
13,439,湖北武汉宗关 ,汉江（入长江前） ,0.3481481481481481,0.37969924812030087,0.1666666666666668,0.9374999999999999,Ⅲ  ,Ⅳ  ,   
14,440,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.7614213197969544,0.0,0.8333333333333333,0.0,Ⅳ  ,Ⅳ  ,   
15,441,江西九江蛤蟆石 ,鄱阳湖出口 ,0.7394957983193282,0.5639097744360902,0.5416666666666667,0.9196428571428572,Ⅱ  ,Ⅱ  ,氨氮，溶解氧  
16,442,江苏扬州三江营 ,夹江（南水北调取水口） ,0.3790322580645161,0.5394736842105264,0.75,0.9196428571428572,Ⅱ  ,Ⅲ  ,   
