,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,409,四川攀枝花龙洞,干流,0.2968036529680368,0.6993670886075951,0.6666666666666667,0.990990990990991,Ⅱ  ,Ⅱ  ,
1,410,重庆朱沱 ,干流（川-渝省界） ,0.34946236559139776,0.9050632911392406,0.9333333333333333,0.90990990990991,Ⅱ  ,Ⅲ  ,   
2,411,湖北宜昌南津关 ,干流（三峡水库出口） ,0.37790697674418616,0.43037974683544306,0.8444444444444446,0.90990990990991,Ⅱ  ,Ⅱ  ,   
3,412,湖南岳阳城陵矶 ,干流 ,0.41139240506329133,1.0,0.2666666666666667,0.9189189189189191,Ⅲ  ,Ⅱ  ,   
4,413,江西九江河西水厂 ,干流（鄂-赣省界） ,0.7007874015748033,0.37025316455696206,0.688888888888889,0.990990990990991,Ⅱ  ,Ⅱ  ,   
5,414,安徽安庆皖河口 ,干流 ,0.5897435897435894,0.5696202531645571,0.7333333333333334,0.8108108108108109,Ⅱ  ,Ⅱ  ,   
6,415,江苏南京林山 ,干流（皖-苏省界） ,0.5775862068965516,0.38291139240506333,1.0,0.9729729729729729,Ⅱ  ,Ⅱ  ,   
7,416,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.7209302325581393,0.305379746835443,0.6666666666666667,0.7567567567567567,Ⅱ  ,Ⅲ  ,   
8,417,四川宜宾凉姜沟 ,岷江（入长江前） ,0.28260869565217395,0.5522151898734178,0.8000000000000002,0.90990990990991,Ⅱ  ,Ⅱ  ,   
9,418,四川泸州沱江二桥 ,沱江（入长江前） ,0.6134453781512607,0.5569620253164558,0.6222222222222222,0.9189189189189191,Ⅱ  ,Ⅱ  ,   
10,419,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.4304635761589405,0.5854430379746837,0.8666666666666667,0.990990990990991,Ⅰ  ,Ⅰ  ,   
11,420,湖南长沙新港 ,湘江（洞庭湖入口） ,0.75,0.4066455696202532,0.9777777777777779,0.6396396396396397,Ⅱ  ,Ⅲ  ,   
12,421,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.5508474576271187,0.5126582278481013,0.44444444444444453,0.7477477477477478,Ⅱ  ,Ⅲ  ,   
13,422,湖北武汉宗关 ,汉江（入长江前） ,0.4193548387096775,0.0,0.0,0.9549549549549551,Ⅳ  ,Ⅲ  ,   
14,423,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.7173913043478259,0.0031645569620253897,0.9555555555555557,0.0,Ⅳ  ,Ⅳ  ,溶解氧  
15,424,江西九江蛤蟆石 ,鄱阳湖出口 ,0.636363636363636,0.3069620253164558,0.8000000000000002,1.0,Ⅱ  ,Ⅱ  ,氨氮，溶解氧  
16,425,江苏扬州三江营 ,夹江（南水北调取水口） ,0.33333333333333337,0.1740506329113925,0.13333333333333344,0.7117117117117118,Ⅲ  ,Ⅱ  ,   
