,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,103,四川攀枝花龙洞,干流,0.12804878048780488,0.7554054054054056,0.8157894736842105,1.0,Ⅱ ,Ⅰ ,
1,104,重庆朱沱 ,干流（川-渝省界） ,0.20999999999999996,0.891891891891892,1.0,0.9748743718592965,Ⅱ ,Ⅱ ,  
2,105,湖北宜昌南津关 ,干流（三峡水库出口） ,0.17948717948717952,0.787837837837838,0.9078947368421052,0.9906676238334531,Ⅱ ,Ⅱ ,  
3,106,湖南岳阳城陵矶 ,干流 ,0.19266055045871555,0.6135135135135136,0.4868421052631578,0.9820531227566404,Ⅲ ,Ⅱ ,  
4,107,江西九江河西水厂 ,干流（鄂-赣省界） ,0.8560000000000002,0.6486486486486487,0.8289473684210525,0.9913854989231874,Ⅱ ,Ⅱ ,  
5,108,安徽安庆皖河口 ,干流 ,0.23076923076923073,0.6581081081081082,0.8026315789473684,0.9813352476669059,Ⅱ ,Ⅱ ,  
6,109,江苏南京林山 ,干流（皖-苏省界） ,0.18918918918918914,0.6959459459459459,0.7894736842105262,0.9863603732950467,Ⅱ ,Ⅱ ,  
7,110,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.1842105263157895,0.35270270270270276,0.0,0.9095477386934674,Ⅳ ,Ⅳ ,高锰酸盐指数、氨氮 
8,111,四川宜宾凉姜沟 ,岷江（入长江前） ,0.5257731958762886,0.918918918918919,0.7236842105263157,0.8858578607322326,Ⅴ ,Ⅲ ,氨氮 
9,112,四川泸州沱江二桥 ,沱江（入长江前） ,0.7345132743362833,0.0,0.6973684210526315,0.9066762383345297,Ⅳ ,Ⅲ ,溶解氧、氨氮 
10,113,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.9407894736842106,0.8648648648648648,0.868421052631579,0.9956927494615937,Ⅱ ,Ⅱ ,  
11,114,湖南长沙新港 ,湘江（洞庭湖入口） ,0.9328358208955225,0.4527027027027028,0.9078947368421052,0.905240488155061,Ⅳ ,Ⅳ ,氨氮 
12,115,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.8719512195121951,0.6148648648648649,0.5789473684210525,0.9842067480258436,Ⅲ ,Ⅱ ,  
13,116,湖北武汉宗关 ,汉江（入长江前） ,0.18584070796460173,0.8202702702702702,0.7236842105263157,0.9885139985642498,Ⅱ ,Ⅲ ,  
14,117,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.31764705882352906,0.5364864864864864,0.8026315789473684,0.0,劣Ⅴ ,劣Ⅴ ,氨氮 
15,118,江西九江蛤蟆石 ,鄱阳湖出口 ,0.20792079207920788,0.8513513513513514,0.4473684210526315,0.9569274946159368,Ⅲ ,Ⅲ ,
16,119,江苏扬州三江营 ,夹江（南水北调取水口） ,0.1693548387096775,1.0,0.881578947368421,0.9791816223977029,Ⅱ ,Ⅱ ,  
