,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,443,四川攀枝花龙洞,干流,0.22388059701492546,1.0,0.6829268292682926,0.946236559139785,Ⅱ  ,Ⅱ  ,
1,444,重庆朱沱 ,干流（川-渝省界） ,0.17647058823529405,0.8735177865612647,0.6097560975609756,0.8602150537634409,Ⅱ  ,Ⅱ  ,   
2,445,湖北宜昌南津关 ,干流（三峡水库出口） ,0.27777777777777757,0.5197628458498024,1.0,0.3655913978494624,Ⅲ  ,Ⅱ  ,   
3,446,湖南岳阳城陵矶 ,干流 ,0.2272727272727273,0.782608695652174,0.2926829268292683,0.7741935483870968,Ⅲ  ,Ⅱ  ,   
4,447,江西九江河西水厂 ,干流（鄂-赣省界） ,0.6694214876033052,0.6719367588932805,0.7560975609756098,0.9677419354838709,Ⅱ  ,Ⅱ  ,   
5,448,安徽安庆皖河口 ,干流 ,0.6470588235294117,0.6541501976284585,0.6585365853658536,0.8064516129032259,Ⅱ  ,Ⅱ  ,   
6,449,江苏南京林山 ,干流（皖-苏省界） ,0.5092592592592586,0.45256916996047436,0.5121951219512195,1.0,Ⅱ  ,Ⅱ  ,   
7,450,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.8333333333333329,0.49604743083003955,0.0,0.6989247311827956,Ⅲ  ,Ⅲ  ,   
8,451,四川宜宾凉姜沟 ,岷江（入长江前） ,0.15706806282722507,0.7430830039525692,0.5609756097560975,0.956989247311828,Ⅱ  ,Ⅱ  ,   
9,452,四川泸州沱江二桥 ,沱江（入长江前） ,0.28037383177570097,0.5592885375494072,0.5365853658536585,0.989247311827957,Ⅱ  ,Ⅱ  ,   
10,453,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.42156862745098034,0.8122529644268776,0.8292682926829268,0.935483870967742,Ⅰ  ,Ⅰ  ,   
11,454,湖南长沙新港 ,湘江（洞庭湖入口） ,0.8429319371727749,0.3675889328063242,0.9756097560975608,0.3870967741935484,Ⅲ  ,Ⅲ  ,
12,455,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.28301886792452824,0.7648221343873518,0.5853658536585366,0.6774193548387096,Ⅱ  ,Ⅱ  ,
13,456,湖北武汉宗关 ,汉江（入长江前） ,0.23255813953488358,0.4644268774703557,0.3658536585365854,0.8924731182795699,Ⅱ  ,Ⅲ  ,
14,457,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.8895027624309391,0.0,0.7804878048780487,0.0,Ⅳ  ,Ⅳ  ,
15,458,江西九江蛤蟆石 ,鄱阳湖出口 ,0.85,0.6581027667984191,0.6341463414634146,0.9032258064516129,Ⅱ  ,Ⅱ  ,溶解氧
16,459,江苏扬州三江营 ,夹江（南水北调取水口） ,0.919463087248322,0.326086956521739,0.7073170731707317,0.9677419354838709,Ⅲ  ,Ⅱ  ,
