,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,137,四川攀枝花龙洞,干流,0.16463414634146323,0.651285930408472,1.0,0.9539227895392279,Ⅳ ,Ⅱ ,
1,138,重庆朱沱 ,干流（川-渝省界） ,0.25961538461538447,0.6202723146747352,0.9120879120879122,0.979659609796596,Ⅲ ,Ⅱ ,氨氮 
2,139,湖北宜昌南津关 ,干流（三峡水库出口） ,0.2755102040816323,0.5673222390317701,0.6593406593406593,0.9941884599418845,Ⅱ ,Ⅱ ,  
3,140,湖南岳阳城陵矶 ,干流 ,0.25961538461538447,0.5423600605143722,0.5934065934065935,0.9912826899128269,Ⅲ ,Ⅲ ,  
4,141,江西九江河西水厂 ,干流（鄂-赣省界） ,0.9256756756756754,0.46822995461422096,0.7802197802197802,0.995433789954338,Ⅱ ,Ⅱ ,  
5,142,安徽安庆皖河口 ,干流 ,0.2727272727272725,0.594553706505295,0.8351648351648352,0.9912826899128269,Ⅱ ,Ⅱ ,  
6,143,江苏南京林山 ,干流（皖-苏省界） ,0.2755102040816323,0.6898638426626323,0.8461538461538463,0.9925280199252802,Ⅱ ,Ⅱ ,  
7,144,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.24324324324324298,0.30105900151285936,0.0,0.9244499792444998,Ⅴ ,Ⅴ ,  
8,145,四川宜宾凉姜沟 ,岷江（入长江前） ,0.8353658536585367,1.0,0.7692307692307693,0.9647156496471564,Ⅲ ,Ⅴ ,氨氮 
9,146,四川泸州沱江二桥 ,沱江（入长江前） ,0.6568627450980394,0.4198184568835099,0.43956043956043955,0.917393109173931,劣Ⅴ ,Ⅴ ,  
10,147,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.7431192660550454,0.546142208774584,0.8461538461538463,1.0,Ⅰ ,Ⅱ ,氨氮 
11,148,湖南长沙新港 ,湘江（洞庭湖入口） ,0.8353658536585367,0.34871406959152806,0.8461538461538463,0.9543378995433789,Ⅳ ,Ⅳ ,  
12,149,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.6568627450980394,0.5121028744326779,0.6043956043956045,0.9908675799086758,Ⅱ ,Ⅱ ,氨氮 
13,150,湖北武汉宗关 ,汉江（入长江前） ,0.22689075630252076,0.565052950075643,0.6483516483516484,0.992112909921129,Ⅱ ,Ⅱ ,  
14,151,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.2727272727272725,0.0,0.054945054945054944,0.0,劣Ⅴ ,劣Ⅴ ,  
15,152,江西九江蛤蟆石 ,鄱阳湖出口 ,0.2307692307692304,0.6066565809379728,0.29670329670329676,0.9800747198007472,Ⅳ ,Ⅲ ,溶解氧、氨氮 
16,153,江苏扬州三江营 ,夹江（南水北调取水口） ,0.21951219512195097,0.6717095310136157,0.7802197802197802,0.9946035699460357,Ⅱ ,Ⅱ ,高锰酸盐指数 
