,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,69,四川攀枝花龙洞,干流,0.0,0.4891640866873064,0.6904761904761905,0.9921630094043887,Ⅱ ,I ,
1,70,重庆朱沱 ,干流（川-渝省界） ,0.0,0.5541795665634673,0.9285714285714285,0.9749216300940439,Ⅱ ,II ,  
2,71,湖北宜昌南津关 ,干流（三峡水库出口） ,0.8086956521739131,1.0,0.8571428571428571,0.9780564263322884,Ⅱ ,II ,  
3,72,湖南岳阳城陵矶 ,干流 ,0.0,0.39783281733746123,0.0,0.9764890282131662,Ⅲ ,II ,  
4,73,江西九江河西水厂 ,干流（鄂-赣省界） ,0.5729166666666661,0.3436532507739938,0.6428571428571429,0.9984326018808778,Ⅱ ,II ,  
5,74,安徽安庆皖河口 ,干流 ,0.0,0.34210526315789475,0.7380952380952381,0.9749216300940439,Ⅱ ,III ,  
6,75,江苏南京林山 ,干流（皖-苏省界） ,0.0,0.22445820433436522,0.976190476190476,0.9937304075235109,Ⅱ ,II ,  
7,76,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.0,0.05882352941176469,0.07142857142857138,0.8996865203761756,Ⅲ ,IV ,  
8,77,四川宜宾凉姜沟 ,岷江（入长江前） ,0.0,0.7213622291021671,0.8095238095238094,0.9686520376175548,Ⅱ ,II ,  
9,78,四川泸州沱江二桥 ,沱江（入长江前） ,0.36904761904761796,0.2523219814241486,0.0,0.9467084639498433,Ⅲ ,III ,  
10,79,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.34939759036144513,0.46130030959752316,0.9285714285714285,1.0,Ⅱ ,II ,  
11,80,湖南长沙新港 ,湘江（洞庭湖入口） ,0.17333333333333223,0.0,0.9047619047619047,0.8432601880877743,Ⅳ ,III ,氨氮 
12,81,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.34939759036144513,0.7012383900928792,0.7619047619047619,0.9811912225705329,Ⅱ ,II ,  
13,82,湖北武汉宗关 ,汉江（入长江前） ,0.0,0.30650154798761603,0.8095238095238094,0.9498432601880877,Ⅱ ,II ,  
14,83,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.9776119402985073,0.11764705882352938,1.0,0.0,劣Ⅴ ,劣V ,氨氮 
15,84,江西九江蛤蟆石 ,鄱阳湖出口 ,1.0,0.5139318885448916,0.6190476190476191,0.9780564263322884,Ⅱ ,II ,
16,85,江苏扬州三江营 ,夹江（南水北调取水口） ,0.0,0.3962848297213622,0.7380952380952381,0.9545454545454546,Ⅱ ,III ,
