,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
0,375,四川攀枝花龙洞,干流,0.015384615384615108,0.7236315086782377,0.9062500000000001,0.978021978021978,Ⅰ  ,Ⅱ  ,
1,376,重庆朱沱 ,干流（川-渝省界） ,0.017543859649122417,0.6648865153538052,0.765625,0.3956043956043956,Ⅲ  ,Ⅲ  ,   
2,377,湖北宜昌南津关 ,干流（三峡水库出口） ,0.02173913043478215,0.615487316421896,0.703125,0.945054945054945,Ⅱ  ,Ⅱ  ,   
3,378,湖南岳阳城陵矶 ,干流 ,0.024999999999999467,0.5166889185580775,0.625,0.6263736263736264,Ⅱ  ,Ⅲ  ,   
4,379,江西九江河西水厂 ,干流（鄂-赣省界） ,0.2777777777777777,0.5473965287049398,0.765625,0.934065934065934,Ⅰ  ,Ⅰ  ,   
5,380,安徽安庆皖河口 ,干流 ,0.8076923076923078,0.6728971962616823,0.71875,0.923076923076923,Ⅱ  ,Ⅱ  ,   
6,381,江苏南京林山 ,干流（皖-苏省界） ,0.5096153846153852,0.4379172229639519,0.84375,0.8681318681318682,Ⅱ  ,Ⅰ  ,   
7,382,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.8928571428571426,0.0,0.0,0.14285714285714285,Ⅳ  ,Ⅲ  ,   
8,383,四川宜宾凉姜沟 ,岷江（入长江前） ,0.01574803149606263,0.5500667556742325,0.765625,0.8021978021978021,Ⅱ  ,Ⅱ  ,高锰酸盐指数，溶解氧  
9,384,四川泸州沱江二桥 ,沱江（入长江前） ,0.019047619047618647,0.8090787716955942,0.546875,0.934065934065934,Ⅱ  ,Ⅱ  ,   
10,385,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.01626016260162566,0.7489986648865155,0.765625,1.0,Ⅰ  ,Ⅰ  ,   
11,386,湖南长沙新港 ,湘江（洞庭湖入口） ,0.9872611464968155,0.5126835781041389,0.734375,0.18681318681318684,Ⅲ  ,Ⅲ  ,
12,387,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.012738853503184489,0.6395193591455275,0.21875000000000006,0.7362637362637362,Ⅲ  ,Ⅲ  ,
13,388,湖北武汉宗关 ,汉江（入长江前） ,0.02105263157894699,0.6261682242990656,0.734375,1.0,Ⅱ  ,Ⅱ  ,
14,389,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.6283185840707968,0.34312416555407205,1.0,0.0,Ⅲ  ,Ⅳ  ,
15,390,江西九江蛤蟆石 ,鄱阳湖出口 ,0.2777777777777777,0.6341789052069425,0.71875,0.8791208791208791,Ⅱ  ,Ⅱ  ,
16,391,江苏扬州三江营 ,夹江（南水北调取水口） ,0.15476190476190554,1.0,0.48437500000000006,0.934065934065934,Ⅱ  ,Ⅱ  ,
