序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
86,四川攀枝花龙洞,干流,8.57,9.1,1.5,0.06,Ⅰ,Ⅱ,
87,重庆朱沱,干流（川-渝省界）,7.71,9.53,1.2,0.47,Ⅱ,Ⅱ,
88,湖北宜昌南津关,干流（三峡水库出口）,7.46,9,3.2,0.22,Ⅱ,Ⅱ,
89,湖南岳阳城陵矶,干流,8,8.59,3.1,0.39,Ⅱ,Ⅲ,
90,江西九江河西水厂,干流（鄂-赣省界）,7.32,8.64,2.6,0.2,Ⅱ,Ⅱ,
91,安徽安庆皖河口,干流,7.74,7.85,2.4,0.22,Ⅱ,Ⅱ,
92,江苏南京林山,干流（皖-苏省界）,7.89,8.41,2.4,0.28,Ⅱ,Ⅱ,
93,四川乐山岷江大桥,岷江（与大渡河汇合前）,8.15,4.84,8.6,0.87,Ⅳ,Ⅲ,
94,四川宜宾凉姜沟,岷江（入长江前）,7.77,10.3,2.9,0.85,Ⅲ,Ⅱ,溶解氧、高锰酸盐指数
95,四川泸州沱江二桥,沱江（入长江前）,7.34,6.31,1.3,0.59,Ⅲ,Ⅲ,
96,湖北丹江口胡家岭,丹江口水库（库体）,7.3,8.74,2.3,0.1,Ⅱ,Ⅱ,
97,湖南长沙新港,湘江（洞庭湖入口）,7.62,7.37,1.8,1.48,Ⅳ,Ⅳ,
98,湖南岳阳岳阳楼,洞庭湖出口,7.18,8.13,3.6,0.48,Ⅱ,Ⅱ,氨氮
99,湖北武汉宗关,汉江（入长江前）,7.91,8.61,4.7,0.24,Ⅲ,Ⅱ,
100,江西南昌滁槎,赣江（鄱阳湖入口）,7.57,9.23,3,12.9,劣Ⅴ,劣Ⅴ,
101,江西九江蛤蟆石,鄱阳湖出口,8.1,8.92,5.5,0.52,Ⅲ,Ⅱ,氨氮
102,江苏扬州三江营,夹江（南水北调取水口）,7.93,9.77,1.8,0.38,Ⅱ,Ⅱ,
