序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
273,四川攀枝花龙洞,干流,7.25,9.72,0.8,0.08,Ⅰ,Ⅳ,
274,重庆朱沱,干流（川-渝省界）,8.37,9.17,1.6,0.23,Ⅱ,Ⅲ,
275,湖北宜昌南津关,干流（三峡水库出口）,8.04,8.4,3.7,0.23,Ⅱ,Ⅱ,
276,湖南岳阳城陵矶,干流,8.16,8,3.5,0.36,Ⅱ,Ⅱ,
277,江西九江河西水厂,干流（鄂-赣省界）,7.51,7.54,1.9,0.19,Ⅱ,Ⅱ,
278,安徽安庆皖河口,干流,7.48,6.06,2.1,0.17,Ⅱ,Ⅱ,
279,江苏南京林山,干流（皖-苏省界）,7.82,6.14,1.9,0.04,Ⅱ,Ⅱ,
280,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.39,6.96,2.6,0.24,Ⅱ,Ⅲ,
281,四川宜宾凉姜沟,岷江（入长江前）,8.21,8.96,1,0.07,Ⅰ,Ⅱ,
282,四川泸州沱江二桥,沱江（入长江前）,7.15,9.45,1.7,0.08,Ⅰ,Ⅰ,
283,湖北丹江口胡家岭,丹江口水库（库体）,8.37,9.08,2,0.08,Ⅰ,Ⅱ,
284,湖南长沙新港,湘江（洞庭湖入口）,6.45,8.22,1.8,0.76,Ⅲ,Ⅱ,
285,湖南岳阳岳阳楼,洞庭湖出口,8.47,8.88,5.7,0.48,Ⅲ,Ⅱ,
286,湖北武汉宗关,汉江（入长江前）,7.96,7.63,3.3,0.13,Ⅱ,Ⅱ,
287,江西南昌滁槎,赣江（鄱阳湖入口）,8.44,9.18,2,7.05,劣Ⅴ,Ⅳ,
288,江西九江蛤蟆石,鄱阳湖出口,8.04,7.95,6.1,0.22,Ⅳ,Ⅱ,氨氮
289,江苏扬州三江营,夹江（南水北调取水口）,7.88,8.13,3.1,0.27,Ⅱ,Ⅲ,高锰酸盐指数
