序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
120,四川攀枝花龙洞,干流,8.21 ,9.47 ,2 ,0.42 ,Ⅱ ,Ⅱ ,
121,重庆朱沱 ,干流（川-渝省界） ,7.74 ,10.2 ,1.2 ,0.49 ,Ⅱ ,Ⅱ ,  
122,湖北宜昌南津关 ,干流（三峡水库出口） ,7.91 ,8.17 ,1.9 ,0.33 ,Ⅱ ,Ⅱ ,  
123,湖南岳阳城陵矶 ,干流 ,7.68 ,8.24 ,4.2 ,0.36 ,Ⅲ ,Ⅲ ,  
124,江西九江河西水厂 ,干流（鄂-赣省界） ,7.64 ,8.38 ,2.2 ,0.24 ,Ⅱ ,Ⅱ ,  
125,安徽安庆皖河口 ,干流 ,7.74 ,8.62 ,3 ,0.32 ,Ⅱ ,Ⅱ ,  
126,江苏南京林山 ,干流（皖-苏省界） ,7.84 ,8.8 ,1.2 ,0.27 ,Ⅱ ,Ⅱ ,  
127,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.71 ,6.61 ,9.4 ,1.85 ,Ⅴ ,Ⅳ ,氨氮 
128,四川宜宾凉姜沟 ,岷江（入长江前） ,7.28 ,8.05 ,3.5 ,1.6 ,Ⅴ ,Ⅴ ,氨氮 
129,四川泸州沱江二桥 ,沱江（入长江前） ,7.22 ,2.79 ,6.2 ,0.97 ,Ⅴ ,Ⅳ ,溶解氧 
130,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.29 ,8.91 ,2.1 ,0.09 ,Ⅱ ,Ⅱ ,  
131,湖南长沙新港 ,湘江（洞庭湖入口） ,7 ,6.73 ,2 ,1.24 ,Ⅳ ,Ⅳ ,氨氮 
132,湖南岳阳岳阳楼 ,洞庭湖出口 ,6.77 ,7.13 ,2.7 ,0.34 ,Ⅱ ,Ⅲ ,  
133,湖北武汉宗关 ,汉江（入长江前） ,7.96 ,9.9 ,3.6 ,0.29 ,Ⅱ ,Ⅱ ,  
134,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.34 ,7.17 ,3.1 ,14.5 ,劣Ⅴ ,劣Ⅴ ,氨氮 
135,江西九江蛤蟆石 ,鄱阳湖出口 ,8.01 ,9.41 ,5.2 ,0.5 ,Ⅲ ,Ⅲ ,
136,江苏扬州三江营 ,夹江（南水北调取水口） ,7.81 ,11.4 ,1.2 ,0.29 ,Ⅱ ,Ⅱ ,  
