序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
426,四川攀枝花龙洞,干流,8.19  ,8.62  ,4  ,0.08  ,Ⅱ  ,Ⅱ  ,
427,重庆朱沱 ,干流（川-渝省界） ,8.45  ,8.16  ,2.7  ,0.18  ,Ⅱ  ,Ⅱ  ,   
428,湖北宜昌南津关 ,干流（三峡水库出口） ,7.7  ,7  ,2.6  ,0.15  ,Ⅱ  ,Ⅱ  ,   
429,湖南岳阳城陵矶 ,干流 ,7.92  ,8.7  ,3.1  ,0.41  ,Ⅱ  ,Ⅲ  ,   
430,江西九江河西水厂 ,干流（鄂-赣省界） ,7.41  ,7.18  ,3.1  ,0.07  ,Ⅱ  ,Ⅱ  ,   
431,安徽安庆皖河口 ,干流 ,7.23  ,7.12  ,3.2  ,0.25  ,Ⅱ  ,Ⅱ  ,   
432,江苏南京林山 ,干流（皖-苏省界） ,7.47  ,6.95  ,3.8  ,0.1  ,Ⅱ  ,Ⅱ  ,   
433,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.33  ,5.23  ,4.2  ,0.34  ,Ⅲ  ,Ⅱ  ,   
434,四川宜宾凉姜沟 ,岷江（入长江前） ,8.5  ,7.14  ,3.3  ,0.06  ,Ⅱ  ,Ⅱ  ,   
435,四川泸州沱江二桥 ,沱江（入长江前） ,7.8  ,6.71  ,2.3  ,0.1  ,Ⅱ  ,Ⅱ  ,   
436,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.86  ,7.63  ,2  ,0.07  ,Ⅰ  ,Ⅰ  ,   
437,湖南长沙新港 ,湘江（洞庭湖入口） ,7.03  ,6.45  ,1.8  ,0.59  ,Ⅲ  ,Ⅱ  ,   
438,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.99  ,7.94  ,3.1  ,0.39  ,Ⅱ  ,Ⅱ  ,   
439,湖北武汉宗关 ,汉江（入长江前） ,7.88  ,5.4  ,3.8  ,0.13  ,Ⅲ  ,Ⅳ  ,   
440,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.53  ,3.38  ,2.2  ,1.18  ,Ⅳ  ,Ⅳ  ,   
441,江西九江蛤蟆石 ,鄱阳湖出口 ,7.31  ,6.38  ,2.9  ,0.15  ,Ⅱ  ,Ⅱ  ,氨氮，溶解氧  
442,江苏扬州三江营 ,夹江（南水北调取水口） ,7.77  ,6.25  ,2.4  ,0.15  ,Ⅱ  ,Ⅲ  ,   
