序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
392,四川攀枝花龙洞,干流,8.71 ,8.38 ,2.5 ,0.07 ,Ⅱ ,Ⅰ ,
393,重庆朱沱,干流（川-渝省界）,7.84 ,7.44 ,1.3 ,0.51 ,Ⅲ ,Ⅲ ,
394,湖北宜昌南津关,干流（三峡水库出口）,7.84 ,7.88 ,2.4 ,0.22 ,Ⅱ ,Ⅱ ,
395,湖南岳阳城陵矶,干流,7.93 ,11 ,3 ,0.19 ,Ⅱ ,Ⅱ ,
396,江西九江河西水厂,干流（鄂-赣省界）,7.3 ,7.42 ,2 ,0.07 ,Ⅱ ,Ⅰ ,
397,安徽安庆皖河口,干流,7.27 ,6.65 ,2.9 ,0.29 ,Ⅱ ,Ⅱ ,
398,江苏南京林山,干流（皖-苏省界）,7.58 ,6.07 ,1.4 ,0.04 ,Ⅱ ,Ⅱ ,
399,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.37 ,6.21 ,4.7 ,0.41 ,Ⅲ ,Ⅳ ,
400,四川宜宾凉姜沟,岷江（入长江前）,8.57 ,7.13 ,2.2 ,0.12 ,Ⅱ ,Ⅱ ,
401,四川泸州沱江二桥,沱江（入长江前）,7.64 ,8.3 ,3.9 ,0.48 ,Ⅱ ,Ⅱ ,
402,湖北丹江口胡家岭,丹江口水库（库体）,7.91 ,7.87 ,1.9 ,0.07 ,Ⅰ ,Ⅰ ,
403,湖南长沙新港,湘江（洞庭湖入口）,6.99 ,5.63 ,2.4 ,0.53 ,Ⅲ ,Ⅲ ,
404,湖南岳阳岳阳楼,洞庭湖出口,7.07 ,6.15 ,5 ,0.16 ,Ⅲ ,Ⅲ ,
405,湖北武汉宗关,汉江（入长江前）,7.99 ,5.91 ,2.4 ,0.12 ,Ⅲ ,Ⅱ ,
406,江西南昌滁槎,赣江（鄱阳湖入口）,6.34 ,4.79 ,1.7 ,0.72 ,Ⅳ ,Ⅲ ,
407,江西九江蛤蟆石,鄱阳湖出口,7.34 ,6.59 ,1.8 ,0.08 ,Ⅱ ,Ⅱ ,溶解氧 
408,江苏扬州三江营,夹江（南水北调取水口）,8.3 ,6.08 ,3.7 ,0.15 ,Ⅱ ,Ⅱ ,
