序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
154,四川攀枝花龙洞,干流,8.38 ,8.97 ,2.3 ,0.13 ,Ⅱ ,Ⅳ ,
155,重庆朱沱 ,干流（川-渝省界） ,7.64 ,8.48 ,2.4 ,0.42 ,Ⅱ ,Ⅲ ,
156,湖北宜昌南津关 ,干流（三峡水库出口） ,7.34 ,11.6 ,3.6 ,0.43 ,Ⅱ ,Ⅱ ,
157,湖南岳阳城陵矶 ,干流 ,7.57 ,8.54 ,3.8 ,0.25 ,Ⅱ ,Ⅲ ,
158,江西九江河西水厂 ,干流（鄂-赣省界） ,7.16 ,8.62 ,2.2 ,0.22 ,Ⅱ ,Ⅱ ,
159,安徽安庆皖河口 ,干流 ,7.4 ,7.19 ,2.9 ,0.18 ,Ⅱ ,Ⅱ ,
160,江苏南京林山 ,干流（皖-苏省界） ,7.82 ,8.55 ,1.2 ,0.28 ,Ⅱ ,Ⅱ ,
161,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,6.88 ,3.35 ,9.9 ,1.87 ,Ⅴ ,Ⅴ ,
162,四川宜宾凉姜沟 ,岷江（入长江前） ,8.07 ,14.4 ,2.6 ,2 ,Ⅴ ,Ⅲ ,氨氮 
163,四川泸州沱江二桥 ,沱江（入长江前） ,7.08 ,4.37 ,3.8 ,5.5 ,劣Ⅴ ,劣Ⅴ ,氨氮 
164,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.72 ,9.17 ,1.9 ,0.13 ,Ⅰ ,Ⅰ ,氨氮 
165,湖南长沙新港 ,湘江（洞庭湖入口） ,7.46 ,5.16 ,2.5 ,1.2 ,Ⅳ ,Ⅳ ,  
166,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.28 ,5.4 ,4.4 ,0.33 ,Ⅲ ,Ⅱ ,氨氮 
167,湖北武汉宗关 ,汉江（入长江前） ,7.95 ,8.59 ,2.9 ,0.25 ,Ⅱ ,Ⅱ ,  
168,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.22 ,5.83 ,1.5 ,2.09 ,劣Ⅴ ,劣Ⅴ ,  
169,江西九江蛤蟆石 ,鄱阳湖出口 ,7.87 ,8.79 ,4.8 ,0.55 ,Ⅲ ,Ⅳ ,氨氮 
170,江苏扬州三江营 ,夹江（南水北调取水口） ,7.72 ,9.13 ,1.9 ,0.2 ,Ⅱ ,Ⅱ ,  
