序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
358,四川攀枝花龙洞,干流,8.33  ,9.6  ,1.1  ,0.26  ,Ⅱ  ,Ⅰ  ,
359,重庆朱沱 ,干流（川-渝省界） ,8.09  ,10.4  ,1.9  ,0.54  ,Ⅲ  ,Ⅲ  ,   
360,湖北宜昌南津关 ,干流（三峡水库出口） ,7.16  ,9.6  ,2.1  ,0.19  ,Ⅱ  ,Ⅱ  ,   
361,湖南岳阳城陵矶 ,干流 ,7.72  ,10.7  ,4.1  ,0.42  ,Ⅲ  ,Ⅱ  ,   
362,江西九江河西水厂 ,干流（鄂-赣省界） ,8.21  ,9.91  ,1.8  ,0.11  ,Ⅰ  ,Ⅱ  ,   
363,安徽安庆皖河口 ,干流 ,7.32  ,8.86  ,2.7  ,0.23  ,Ⅱ  ,Ⅱ  ,   
364,江苏南京林山 ,干流（皖-苏省界） ,7.64  ,10.5  ,1.8  ,0.02  ,Ⅰ  ,Ⅱ  ,   
365,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.25  ,5.26  ,4.3  ,0.82  ,Ⅲ  ,Ⅴ  ,   
366,四川宜宾凉姜沟 ,岷江（入长江前） ,8.27  ,8.88  ,1.1  ,0.32  ,Ⅱ  ,Ⅱ  ,   
367,四川泸州沱江二桥 ,沱江（入长江前） ,8.23  ,7.68  ,2.7  ,0.38  ,Ⅱ  ,Ⅱ  ,   
368,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.16  ,12.3  ,1.8  ,0.08  ,Ⅰ  ,Ⅰ  ,   
369,湖南长沙新港 ,湘江（洞庭湖入口） ,6.95  ,11.8  ,4.3  ,0.9  ,Ⅲ  ,Ⅳ  ,   
370,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.55  ,7.78  ,5.7  ,0.57  ,Ⅲ  ,Ⅳ  ,   
371,湖北武汉宗关 ,汉江（入长江前） ,7.83  ,9.3  ,2.9  ,0.19  ,Ⅱ  ,Ⅱ  ,   
372,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.53  ,6.18  ,0.7  ,1.48  ,Ⅳ  ,劣Ⅴ  ,   
373,江西九江蛤蟆石 ,鄱阳湖出口 ,7.93  ,10.6  ,3.3  ,0.23  ,Ⅱ  ,Ⅱ  ,氨氮  
374,江苏扬州三江营 ,夹江（南水北调取水口） ,7.78  ,11.4  ,3  ,0.31  ,Ⅱ  ,Ⅱ  ,   
