序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
324,四川攀枝花龙洞,干流,8.5,10.2,1.2,0.07,Ⅰ,Ⅰ,
325,重庆朱沱,干流（川-渝省界）,8.31,11.1,1.3,0.54,Ⅲ,Ⅲ,
326,湖北宜昌南津关,干流（三峡水库出口）,8.11,9.2,1.9,0.22,Ⅱ,Ⅱ,
327,湖南岳阳城陵矶,干流,8.12,8.35,5.1,0.42,Ⅲ,Ⅱ,
328,江西九江河西水厂,干流（鄂-赣省界）,6.89,11.3,2.4,0.21,Ⅱ,Ⅱ,
329,安徽安庆皖河口,干流,7.35,9.05,2.6,0.2,Ⅱ,Ⅰ,
330,江苏南京林山,干流（皖-苏省界）,7.78,11.1,2.5,0.22,Ⅱ,Ⅰ,
331,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.43,6.41,4.6,1.6,Ⅴ,Ⅲ,
332,四川宜宾凉姜沟,岷江（入长江前）,8.35,11.3,0.9,0.35,Ⅱ,Ⅱ,氨氮
333,四川泸州沱江二桥,沱江（入长江前）,8.35,8.8,2.7,0.22,Ⅱ,Ⅱ,
334,湖北丹江口胡家岭,丹江口水库（库体）,8.37,11.5,1.8,0.08,Ⅰ,Ⅱ,
335,湖南长沙新港,湘江（洞庭湖入口）,7.07,10.2,2.1,0.92,Ⅲ,Ⅳ,
336,湖南岳阳岳阳楼,洞庭湖出口,8.39,11.2,5.4,0.84,Ⅲ,Ⅱ,
337,湖北武汉宗关,汉江（入长江前）,8.06,9.21,4.3,0.22,Ⅲ,Ⅲ,
338,江西南昌滁槎,赣江（鄱阳湖入口）,7.52,7.2,4.5,6.02,劣Ⅴ,劣Ⅴ,
339,江西九江蛤蟆石,鄱阳湖出口,7.84,11.2,3.1,0.47,Ⅱ,Ⅳ,氨氮
340,江苏扬州三江营,夹江（南水北调取水口）,7.9,11.2,2.6,0.42,Ⅱ,Ⅲ,
