序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
103,四川攀枝花龙洞,干流,8.43,9.39,2.5,0.07,Ⅱ,Ⅰ,
104,重庆朱沱,干流（川-渝省界）,7.79,10.4,1.1,0.42,Ⅱ,Ⅱ,
105,湖北宜昌南津关,干流（三峡水库出口）,7.96,9.63,1.8,0.2,Ⅱ,Ⅱ,
106,湖南岳阳城陵矶,干流,7.88,8.34,5,0.32,Ⅲ,Ⅱ,
107,江西九江河西水厂,干流（鄂-赣省界）,7.18,8.6,2.4,0.19,Ⅱ,Ⅱ,
108,安徽安庆皖河口,干流,7.7,8.67,2.6,0.33,Ⅱ,Ⅱ,
109,江苏南京林山,干流（皖-苏省界）,7.9,8.95,2.7,0.26,Ⅱ,Ⅱ,
110,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.93,6.41,8.7,1.33,Ⅳ,Ⅳ,高锰酸盐指数、氨氮
111,四川宜宾凉姜沟,岷江（入长江前）,7.46,10.6,3.2,1.66,Ⅴ,Ⅲ,氨氮
112,四川泸州沱江二桥,沱江（入长江前）,7.3,3.8,3.4,1.37,Ⅳ,Ⅲ,溶解氧、氨氮
113,湖北丹江口胡家岭,丹江口水库（库体）,6.91,10.2,2.1,0.13,Ⅱ,Ⅱ,
114,湖南长沙新港,湘江（洞庭湖入口）,7.09,7.15,1.8,1.39,Ⅳ,Ⅳ,氨氮
115,湖南岳阳岳阳楼,洞庭湖出口,6.79,8.35,4.3,0.29,Ⅲ,Ⅱ,
116,湖北武汉宗关,汉江（入长江前）,7.92,9.87,3.2,0.23,Ⅱ,Ⅲ,
117,江西南昌滁槎,赣江（鄱阳湖入口）,7.58,7.77,2.6,14,劣Ⅴ,劣Ⅴ,氨氮
118,江西九江蛤蟆石,鄱阳湖出口,7.8,10.1,5.3,0.67,Ⅲ,Ⅲ,
119,江苏扬州三江营,夹江（南水北调取水口）,8.03,11.2,2,0.36,Ⅱ,Ⅱ,
