序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
443,四川攀枝花龙洞,干流,8.04 ,8.93 ,2.6 ,0.09 ,Ⅱ ,Ⅱ ,
444,重庆朱沱,干流（川-渝省界）,8.4 ,8.29 ,2.9 ,0.17 ,Ⅱ ,Ⅱ , 
445,湖北宜昌南津关,干流（三峡水库出口）,7.78 ,6.5 ,1.3 ,0.63 ,Ⅲ ,Ⅱ , 
446,湖南岳阳城陵矶,干流,8.02 ,7.83 ,4.2 ,0.25 ,Ⅲ ,Ⅱ , 
447,江西九江河西水厂,干流（鄂-赣省界）,7.4 ,7.27 ,2.3 ,0.07 ,Ⅱ ,Ⅱ , 
448,安徽安庆皖河口,干流,7.42 ,7.18 ,2.7 ,0.22 ,Ⅱ ,Ⅱ , 
449,江苏南京林山,干流（皖-苏省界）,7.53 ,6.16 ,3.3 ,0.04 ,Ⅱ ,Ⅱ , 
450,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.23 ,6.38 ,5.4 ,0.32 ,Ⅲ ,Ⅲ , 
451,四川宜宾凉姜沟,岷江（入长江前）,8.61 ,7.63 ,3.1 ,0.08 ,Ⅱ ,Ⅱ , 
452,四川泸州沱江二桥,沱江（入长江前）,7.77 ,6.7 ,3.2 ,0.05 ,Ⅱ ,Ⅱ , 
453,湖北丹江口胡家岭,丹江口水库（库体）,7.59 ,7.98 ,2 ,0.1 ,Ⅰ ,Ⅰ , 
454,湖南长沙新港,湘江（洞庭湖入口）,6.7 ,5.73 ,1.4 ,0.61 ,Ⅲ ,Ⅲ ,
455,湖南岳阳岳阳楼,洞庭湖出口,7.76 ,7.74 ,3 ,0.34 ,Ⅱ ,Ⅱ ,
456,湖北武汉宗关,汉江（入长江前）,7.99 ,6.22 ,3.9 ,0.14 ,Ⅱ ,Ⅲ ,
457,江西南昌滁槎,赣江（鄱阳湖入口）,6.8 ,3.87 ,2.2 ,0.97 ,Ⅳ ,Ⅳ ,
458,江西九江蛤蟆石,鄱阳湖出口,7.21 ,7.2 ,2.8 ,0.13 ,Ⅱ ,Ⅱ ,溶解氧
459,江苏扬州三江营,夹江（南水北调取水口）,7.12 ,5.52 ,2.5 ,0.07 ,Ⅲ ,Ⅱ ,
