序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
341,四川攀枝花龙洞,干流,8.52 ,9.38 ,0.9 ,0.15 ,Ⅰ ,Ⅰ,
342,重庆朱沱,干流（川-渝省界）,8.24 ,10.7 ,1.8 ,0.55 ,Ⅲ ,Ⅲ, 
343,湖北宜昌南津关,干流（三峡水库出口）,7.93 ,10.4 ,2 ,0.18 ,Ⅱ ,Ⅱ,
344,湖南岳阳城陵矶,干流,7.81 ,9.65 ,3.2 ,0.43 ,Ⅱ ,Ⅲ,
345,江西九江河西水厂,干流（鄂-赣省界）,6.99 ,11.2 ,3.1 ,0.13 ,Ⅱ ,Ⅱ,
346,安徽安庆皖河口,干流,7.36 ,9.45 ,2.7 ,0.18 ,Ⅱ ,Ⅱ,
347,江苏南京林山,干流（皖-苏省界）,7.66 ,10.5 ,2.3 ,0.31 ,Ⅱ ,Ⅱ,
348,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.42 ,5.62 ,4 ,1.98 ,Ⅴ ,Ⅴ, 
349,四川宜宾凉姜沟,岷江（入长江前）,8.32 ,10.2 ,1.3 ,0.4 ,Ⅱ ,Ⅱ,氨氮 
350,四川泸州沱江二桥,沱江（入长江前）,8.27 ,8.31 ,2.5 ,0.29 ,Ⅱ ,Ⅱ, 
351,湖北丹江口胡家岭,丹江口水库（库体）,8.1 ,12 ,2 ,0.06 ,Ⅰ ,Ⅰ, 
352,湖南长沙新港,湘江（洞庭湖入口）,7.24 ,11 ,2.1 ,1.26 ,Ⅳ ,Ⅲ, 
353,湖南岳阳岳阳楼,洞庭湖出口,8.42 ,14.7 ,6.5 ,0.9 ,Ⅳ ,Ⅲ,氨氮 
354,湖北武汉宗关,汉江（入长江前）,8.04 ,9.4 ,3.4 ,0.17 ,Ⅱ ,Ⅲ,高锰酸盐指数 
355,江西南昌滁槎,赣江（鄱阳湖入口）,7.81 ,6.65 ,1.8 ,3.01 ,劣Ⅴ ,劣Ⅴ, 
356,江西九江蛤蟆石,鄱阳湖出口,8.18 ,11.3 ,1.8 ,0.42 ,Ⅱ ,Ⅱ,氨氮 
357,江苏扬州三江营,夹江（南水北调取水口）,7.84 ,11.5 ,2.8 ,0.36 ,Ⅱ ,Ⅱ,
