序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
460,四川攀枝花龙洞,干流,8.46 ,8.5 ,4 ,0.08 ,Ⅱ ,Ⅱ ,
461,重庆朱沱,干流（川-渝省界）,8.5 ,8.2 ,2.9 ,0.11 ,Ⅱ ,Ⅱ ,
462,湖北宜昌南津关,干流（三峡水库出口）,8.13 ,6.51 ,3.2 ,0.2 ,Ⅱ ,Ⅲ ,
463,湖南岳阳城陵矶,干流,7.99 ,11.2 ,4.9 ,0.41 ,Ⅲ ,Ⅲ ,
464,江西九江河西水厂,干流（鄂-赣省界）,7.48 ,6.87 ,2.3 ,0.06 ,Ⅱ ,Ⅱ ,
465,安徽安庆皖河口,干流,7.48 ,7.12 ,2.7 ,0.16 ,Ⅱ ,Ⅱ ,
466,江苏南京林山,干流（皖-苏省界）,7.26 ,6.08 ,3.5 ,0.1 ,Ⅱ ,Ⅱ ,
467,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.39 ,6.6 ,2.1 ,0.32 ,Ⅱ ,Ⅲ ,
468,四川宜宾凉姜沟,岷江（入长江前）,8.79 ,8.19 ,2.1 ,0.09 ,Ⅱ ,Ⅱ ,
469,四川泸州沱江二桥,沱江（入长江前）,8.18 ,8.84 ,3.7 ,0.22 ,Ⅱ ,Ⅱ ,
470,湖北丹江口胡家岭,丹江口水库（库体）,8.67 ,8.28 ,2 ,0.07 ,Ⅰ ,Ⅰ ,
471,湖南长沙新港,湘江（洞庭湖入口）,6.76 ,6.07 ,3.9 ,0.57 ,Ⅲ ,Ⅲ ,
472,湖南岳阳岳阳楼,洞庭湖出口,7.43 ,8.51 ,2.6 ,0.64 ,Ⅲ ,Ⅱ ,
473,湖北武汉宗关,汉江（入长江前）,8.05 ,6.68 ,2.3 ,0.13 ,Ⅱ ,Ⅱ , 
474,江西南昌滁槎,赣江（鄱阳湖入口）,6.39 ,3.39 ,1.1 ,0.92 ,Ⅳ ,Ⅳ , 
475,江西九江蛤蟆石,鄱阳湖出口,7.64 ,7.39 ,2.3 ,0.11 ,Ⅱ ,Ⅱ ,溶解氧 
476,江苏扬州三江营,夹江（南水北调取水口）,7.67 ,7.25 ,3.6 ,0.29 ,Ⅱ ,Ⅲ , 
