序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
1,四川攀枝花,干流,7.6,6.8,0.2,0.1,II,Ⅱ,
2,重庆朱沱,干流（川-渝省界）,7.63,8.41,2.8,0.34,II,Ⅱ,
3,湖北宜昌南津关,干流（三峡水库出口）,7.07,7.81,5.8,0.55,III,Ⅲ,
4,湖南岳阳城陵矶,干流,7.58,6.47,2.9,0.34,II,Ⅱ,
5,江西九江河西水厂,干流（鄂-赣省界）,7.34,6.19,1.7,0.13,II,Ⅱ,
6,安徽安庆皖河口,干流,7.52,6.54,3.2,0.22,II,Ⅱ,
7,江苏南京林山,干流（皖-苏省界）,7.78,6.9,3.1,0.11,II,Ⅱ,
8,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.66,4.2,5.8,0.53,IV,Ⅳ,溶解氧
9,四川宜宾凉姜沟,岷江（入长江前）,8.01,7.63,2.4,0.25,II,Ⅱ,
10,四川泸州沱江二桥,沱江（入长江前）,7.63,4.02,3.6,1.06,IV,Ⅳ,溶解氧、氨氮
11,湖北丹江口胡家岭,丹江口水库（库体）,8.63,10.2,1.8,0.1,I,Ⅰ,
12,湖南长沙新港,湘江（洞庭湖入口）,7.42,6.45,4.3,0.99,III,Ⅲ,
13,湖南岳阳岳阳楼,洞庭湖出口,7.73,6.26,1.4,0.21,II,Ⅲ,
14,湖北武汉宗关,汉江（入长江前）,8,6.43,2.4,0.17,II,Ⅱ,
15,江西南昌滁槎,赣江（鄱阳湖入口）,6.64,5.18,1.1,0.92,III,Ⅲ,
16,江西九江蛤蟆石,鄱阳湖出口,7.28,6.87,2.7,0.15,II,Ⅱ,
17,江苏扬州三江营,夹江（南水北调取水口）,7.29,6.9,1.6,0.15,II,Ⅱ,
