序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
137,四川攀枝花龙洞,干流,8.37 ,9.49 ,0.4 ,1.22 ,Ⅳ ,Ⅱ ,
138,重庆朱沱 ,干流（川-渝省界） ,7.77 ,9.08 ,1.2 ,0.6 ,Ⅲ ,Ⅱ ,氨氮 
139,湖北宜昌南津关 ,干流（三峡水库出口） ,7.71 ,8.38 ,3.5 ,0.25 ,Ⅱ ,Ⅱ ,  
140,湖南岳阳城陵矶 ,干流 ,7.77 ,8.05 ,4.1 ,0.32 ,Ⅲ ,Ⅲ ,  
141,江西九江河西水厂 ,干流（鄂-赣省界） ,6.89 ,7.07 ,2.4 ,0.22 ,Ⅱ ,Ⅱ ,  
142,安徽安庆皖河口 ,干流 ,7.72 ,8.74 ,1.9 ,0.32 ,Ⅱ ,Ⅱ ,  
143,江苏南京林山 ,干流（皖-苏省界） ,7.71 ,10 ,1.8 ,0.29 ,Ⅱ ,Ⅱ ,  
144,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.84 ,4.86 ,9.5 ,1.93 ,Ⅴ ,Ⅴ ,  
145,四川宜宾凉姜沟 ,岷江（入长江前） ,6.73 ,14.1 ,2.5 ,0.96 ,Ⅲ ,Ⅴ ,氨氮 
146,四川泸州沱江二桥 ,沱江（入长江前） ,7.35 ,6.43 ,5.5 ,2.1 ,劣Ⅴ ,Ⅴ ,  
147,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.28 ,8.1 ,1.8 ,0.11 ,Ⅰ ,Ⅱ ,氨氮 
148,湖南长沙新港 ,湘江（洞庭湖入口） ,6.73 ,5.49 ,1.8 ,1.21 ,Ⅳ ,Ⅳ ,  
149,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.35 ,7.65 ,4 ,0.33 ,Ⅱ ,Ⅱ ,氨氮 
150,湖北武汉宗关 ,汉江（入长江前） ,7.92 ,8.35 ,3.6 ,0.3 ,Ⅱ ,Ⅱ ,  
151,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.72 ,0.88 ,9 ,24.2 ,劣Ⅴ ,劣Ⅴ ,  
152,江西九江蛤蟆石 ,鄱阳湖出口 ,7.9 ,8.9 ,6.8 ,0.59 ,Ⅳ ,Ⅲ ,溶解氧、氨氮 
153,江苏扬州三江营 ,夹江（南水北调取水口） ,7.96 ,9.76 ,2.4 ,0.24 ,Ⅱ ,Ⅱ ,高锰酸盐指数 
