序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
375,四川攀枝花龙洞,干流,8.28 ,9.03 ,1.1 ,0.1 ,Ⅰ ,Ⅱ ,
376,重庆朱沱,干流（川-渝省界）,8.12 ,8.59 ,2 ,0.63 ,Ⅲ ,Ⅲ , 
377,湖北宜昌南津关,干流（三峡水库出口）,7.9 ,8.22 ,2.4 ,0.13 ,Ⅱ ,Ⅱ , 
378,湖南岳阳城陵矶,干流,7.78 ,7.48 ,2.9 ,0.42 ,Ⅱ ,Ⅲ , 
379,江西九江河西水厂,干流（鄂-赣省界）,7.65 ,7.71 ,2 ,0.14 ,Ⅰ ,Ⅰ , 
380,安徽安庆皖河口,干流,7.25 ,8.65 ,2.3 ,0.15 ,Ⅱ ,Ⅱ , 
381,江苏南京林山,干流（皖-苏省界）,7.51 ,6.89 ,1.5 ,0.2 ,Ⅱ ,Ⅰ , 
382,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.15 ,3.61 ,6.9 ,0.86 ,Ⅳ ,Ⅲ , 
383,四川宜宾凉姜沟,岷江（入长江前）,8.25 ,7.73 ,2 ,0.26 ,Ⅱ ,Ⅱ ,高锰酸盐指数，溶解氧 
384,四川泸州沱江二桥,沱江（入长江前）,8.03 ,9.67 ,3.4 ,0.14 ,Ⅱ ,Ⅱ , 
385,湖北丹江口胡家岭,丹江口水库（库体）,8.21 ,9.22 ,2 ,0.08 ,Ⅰ ,Ⅰ , 
386,湖南长沙新港,湘江（洞庭湖入口）,6.98 ,7.45 ,2.2 ,0.82 ,Ⅲ ,Ⅲ ,
387,湖南岳阳岳阳楼,洞庭湖出口,8.55 ,8.4 ,5.5 ,0.32 ,Ⅲ ,Ⅲ ,
388,湖北武汉宗关,汉江（入长江前）,7.93 ,8.3 ,2.2 ,0.08 ,Ⅱ ,Ⅱ ,
389,江西南昌滁槎,赣江（鄱阳湖入口）,7.42 ,6.18 ,0.5 ,0.99 ,Ⅲ ,Ⅳ ,
390,江西九江蛤蟆石,鄱阳湖出口,7.65 ,8.36 ,2.3 ,0.19 ,Ⅱ ,Ⅱ ,
391,江苏扬州三江营,夹江（南水北调取水口）,7.71 ,11.1 ,3.8 ,0.14 ,Ⅱ ,Ⅱ ,
