序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
18,四川攀枝花龙洞 ,干流 ,8.3 ,8.1 ,5.6 ,0.1 ,III ,II ,
19,重庆朱沱 ,干流（川-渝省界） ,7.47 ,8.54 ,1.6 ,0.25 ,II ,II ,
20,湖北宜昌南津关 ,干流（三峡水库出口） ,7.73 ,7.89 ,5.2 ,0.22 ,III ,III ,  
21,湖南岳阳城陵矶 ,干流 ,7.78 ,7.57 ,3.9 ,0.31 ,II ,II ,  
22,江西九江河西水厂 ,干流（鄂-赣省界） ,7.06 ,6.25 ,2.3 ,0.18 ,II ,II ,  
23,安徽安庆皖河口 ,干流 ,7.63 ,6.73 ,3 ,0.28 ,II ,II ,  
24,江苏南京林山 ,干流（皖-苏省界） ,7.41 ,6.37 ,2.5 ,0.1 ,II ,II ,  
25,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.61 ,4.63 ,4.5 ,0.92 ,IV ,IV ,溶解氧 
26,四川宜宾凉姜沟 ,岷江（入长江前） ,8.09 ,8.08 ,8 ,0.37 ,IV ,II ,高锰酸盐指数 
27,四川泸州沱江二桥 ,沱江（入长江前） ,7.9 ,4.7 ,6.4 ,0.37 ,IV ,IV ,高锰酸盐指数、溶解氧 
28,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.17 ,9.81 ,1.9 ,0.09 ,I ,I ,  
28,湖南长沙新港 ,湘江（洞庭湖入口） ,7.64 ,6.93 ,2.6 ,0.4 ,II ,III ,  
30,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.86 ,6.49 ,3.3 ,0.26 ,II ,II ,  
31,湖北武汉宗关 ,汉江（入长江前） ,8 ,5.38 ,3.7 ,0.14 ,III ,II ,  
32,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.71 ,4.85 ,1 ,1.01 ,IV ,III ,溶解氧 
33,江西九江蛤蟆石 ,鄱阳湖出口 ,7.68 ,6.08 ,2.6 ,0.19 ,II ,II ,  
34,江苏扬州三江营 ,夹江（南水北调取水口） ,7.31 ,4.49 ,1.6 ,0.32 ,IV ,II ,溶解氧 
