序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
205,四川攀枝花龙洞,干流,8.1 ,8.79 ,2.5 ,0.04 ,Ⅱ ,Ⅲ ,
206,重庆朱沱 ,干流（川-渝省界） ,7.53 ,7.86 ,3 ,0.18 ,Ⅱ ,Ⅱ ,  
207,湖北宜昌南津关 ,干流（三峡水库出口） ,7.97 ,7.96 ,3.8 ,0.34 ,Ⅱ ,Ⅱ ,  
208,湖南岳阳城陵矶 ,干流 ,7.74 ,8.09 ,3.5 ,0.35 ,Ⅱ ,Ⅱ ,  
209,江西九江河西水厂 ,干流（鄂-赣省界） ,7.25 ,7.26 ,2.6 ,0.15 ,Ⅱ ,Ⅱ ,  
210,安徽安庆皖河口 ,干流 ,7.3 ,6.38 ,1.6 ,0.17 ,Ⅱ ,Ⅱ ,  
211,江苏南京林山 ,干流（皖-苏省界） ,7.36 ,6.19 ,2 ,0.06 ,Ⅱ ,Ⅱ ,  
212,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.83 ,5.82 ,4.5 ,0.65 ,Ⅲ ,Ⅳ ,  
213,四川宜宾凉姜沟 ,岷江（入长江前） ,8.04 ,8.78 ,3.3 ,0.07 ,Ⅱ ,Ⅱ ,  
214,四川泸州沱江二桥 ,沱江（入长江前） ,7.6 ,6.39 ,3.8 ,0.28 ,Ⅱ ,Ⅳ ,  
215,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.4 ,10.1 ,1.5 ,0.12 ,Ⅰ ,Ⅰ ,  
216,湖南长沙新港 ,湘江（洞庭湖入口） ,6.72 ,7.02 ,4.8 ,0.98 ,Ⅲ ,Ⅳ ,  
217,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.02 ,8.14 ,7.3 ,0.38 ,Ⅳ ,Ⅱ ,  
218,湖北武汉宗关 ,汉江（入长江前） ,7.88 ,5.75 ,3.6 ,0.21 ,Ⅲ ,Ⅱ ,高锰酸盐指数 
219,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.84 ,5.06 ,0.8 ,2.53 ,劣Ⅴ ,Ⅳ ,  
220,江西九江蛤蟆石 ,鄱阳湖出口 ,7.31 ,6.85 ,2.1 ,0.19 ,Ⅱ ,Ⅲ ,氨氮 
221,江苏扬州三江营 ,夹江（南水北调取水口） ,7.16 ,6.61 ,3.8 ,0.32 ,Ⅱ ,Ⅲ ,  
