序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
307,四川攀枝花龙洞,干流,7.87,10.3,1.6,0.08,Ⅰ,Ⅱ,
308,重庆朱沱,干流（川-渝省界）,8.25,10.4,1.3,0.51,Ⅲ,Ⅱ,
309,湖北宜昌南津关,干流（三峡水库出口）,8.3,9.07,2.4,0.16,Ⅱ,Ⅱ,
310,湖南岳阳城陵矶,干流,8.05,8.47,3.5,0.31,Ⅱ,Ⅱ,
311,江西九江河西水厂,干流（鄂-赣省界）,8,8.84,2.3,0.12,Ⅱ,Ⅱ,
312,安徽安庆皖河口,干流,7.42,8.65,1.7,0.14,Ⅰ,Ⅱ,
313,江苏南京林山,干流（皖-苏省界）,7.83,9.66,2,0.1,Ⅰ,Ⅱ,
314,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.37,6.37,3.6,0.58,Ⅲ,Ⅱ,
315,四川宜宾凉姜沟,岷江（入长江前）,8.17,9.32,1.6,0.24,Ⅱ,Ⅱ,
316,四川泸州沱江二桥,沱江（入长江前）,8.28,7.76,2.6,0.28,Ⅱ,Ⅱ,
317,湖北丹江口胡家岭,丹江口水库（库体）,8.18,12.7,2.1,0.08,Ⅱ,Ⅰ,
318,湖南长沙新港,湘江（洞庭湖入口）,7.19,8.92,1.1,1.46,Ⅳ,Ⅲ,
319,湖南岳阳岳阳楼,洞庭湖出口,8.45,9.41,3.9,0.34,Ⅱ,Ⅲ,氨氮
320,湖北武汉宗关,汉江（入长江前）,7.86,8.89,4.2,0.15,Ⅲ,Ⅱ,
321,江西南昌滁槎,赣江（鄱阳湖入口）,9.26,9.3,4.3,11.3,劣Ⅴ,劣Ⅴ,
322,江西九江蛤蟆石,鄱阳湖出口,8.36,9.24,8.5,0.34,Ⅳ,Ⅳ,pH，氨氮
323,江苏扬州三江营,夹江（南水北调取水口）,7.95,10.8,4.8,0.17,Ⅲ,Ⅱ,高锰酸盐指数
