序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
52,四川攀枝花龙洞,干流,8.34 ,8.8 ,1.1 ,0.11 ,I ,I ,
53,重庆朱沱 ,干流（川-渝省界） ,7.63 ,8.58 ,1.5 ,0.24 ,II ,II ,  
54,湖北宜昌南津关 ,干流（三峡水库出口） ,7.55 ,10.6 ,3.6 ,0.36 ,II ,II ,  
55,湖南岳阳城陵矶 ,干流 ,7.93 ,8.36 ,3.1 ,0.3 ,II ,III ,  
56,江西九江河西水厂 ,干流（鄂-赣省界） ,7.6 ,7.43 ,2.3 ,0.14 ,II ,II ,  
57,安徽安庆皖河口 ,干流 ,7.67 ,6.9 ,5 ,0.39 ,III ,II ,  
58,江苏南京林山 ,干流（皖-苏省界） ,7.83 ,6.61 ,1.5 ,0.04 ,II ,II ,  
59,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,8.02 ,6.32 ,3.6 ,1.41 ,IV ,IV ,氨氮 
60,四川宜宾凉姜沟 ,岷江（入长江前） ,7.96 ,9.12 ,2.6 ,0.27 ,II ,II ,  
61,四川泸州沱江二桥 ,沱江（入长江前） ,7.44 ,7.73 ,3.4 ,0.53 ,III ,III ,  
62,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.52 ,7.11 ,2.2 ,0.12 ,II ,II ,  
63,湖南长沙新港 ,湘江（洞庭湖入口） ,7.6 ,6.7 ,2.5 ,0.75 ,III ,III ,  
64,湖南岳阳岳阳楼 ,洞庭湖出口 ,6.97 ,8.8 ,3.5 ,0.31 ,II ,II ,  
65,湖北武汉宗关 ,汉江（入长江前） ,7.95 ,6.32 ,2.5 ,0.35 ,II ,III ,  
66,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.78 ,4.04 ,0.77 ,3.06 ,劣V ,劣V ,氨氮 
67,江西九江蛤蟆石 ,鄱阳湖出口 ,6.97 ,7.14 ,2.8 ,0.26 ,II ,II ,
68,江苏扬州三江营 ,夹江（南水北调取水口） ,8.03 ,5.76 ,1.1 ,0.41 ,III ,II ,  

