序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
256,四川攀枝花龙洞,干流,8.61,9.42,6.1,0.09,Ⅳ,Ⅲ,
257,重庆朱沱,干流（川-渝省界）,7.83,8.42,4.4,0.16,Ⅲ,Ⅱ,高锰酸盐指数
258,湖北宜昌南津关,干流（三峡水库出口）,7.54,7.56,3.4,0.29,Ⅱ,Ⅱ,
259,湖南岳阳城陵矶,干流,7.9,8.56,3.9,0.3,Ⅱ,Ⅱ,
260,江西九江河西水厂,干流（鄂-赣省界）,7.27,6.4,1.9,0.25,Ⅱ,Ⅱ,
261,安徽安庆皖河口,干流,7.16,6.77,1.6,0.14,Ⅱ,Ⅱ,
262,江苏南京林山,干流（皖-苏省界）,7.71,6.43,2.3,0.08,Ⅱ,Ⅱ,
263,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.44,5.76,2.9,0.3,Ⅲ,Ⅲ,
264,四川宜宾凉姜沟,岷江（入长江前）,8.13,8.5,2.5,0.07,Ⅱ,Ⅱ,
265,四川泸州沱江二桥,沱江（入长江前）,7.19,7.99,1.1,0.03,Ⅰ,Ⅰ,
266,湖北丹江口胡家岭,丹江口水库（库体）,8.4,7.38,1.5,0.08,Ⅱ,Ⅰ,
267,湖南长沙新港,湘江（洞庭湖入口）,6.64,7.24,1.7,0.37,Ⅱ,Ⅲ,
268,湖南岳阳岳阳楼,洞庭湖出口,8.33,8.03,3.6,0.31,Ⅱ,Ⅲ,
269,湖北武汉宗关,汉江（入长江前）,8,6.87,2.7,0.18,Ⅱ,Ⅱ,
270,江西南昌滁槎,赣江（鄱阳湖入口）,6.65,4.97,3.4,0.63,Ⅳ,Ⅴ,
271,江西九江蛤蟆石,鄱阳湖出口,7.57,6.92,1.8,0.2,Ⅱ,Ⅱ,溶解氧
272,江苏扬州三江营,夹江（南水北调取水口）,7.79,6.77,5,0.31,Ⅲ,Ⅲ,
