序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
239,四川攀枝花龙洞,干流,8.33 ,13.9 ,5.8 ,1 ,Ⅲ ,Ⅱ ,
240,重庆朱沱 ,干流（川-渝省界） ,7.54 ,7.75 ,2 ,0.17 ,Ⅱ ,Ⅱ ,  
241,湖北宜昌南津关 ,干流（三峡水库出口） ,7.63 ,6.94 ,3.1 ,0.19 ,Ⅱ ,Ⅱ ,  
242,湖南岳阳城陵矶 ,干流 ,7.42 ,8.26 ,4 ,0.33 ,Ⅱ ,Ⅲ ,  
243,江西九江河西水厂 ,干流（鄂-赣省界） ,7.28 ,6.28 ,2.3 ,0.24 ,Ⅱ ,Ⅱ ,  
244,安徽安庆皖河口 ,干流 ,7.09 ,6 ,1.9 ,0.16 ,Ⅱ ,Ⅱ ,  
245,江苏南京林山 ,干流（皖-苏省界） ,7.66 ,6.35 ,1.7 ,0.05 ,Ⅱ ,Ⅲ ,  
246,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.44 ,5.78 ,3.1 ,0.25 ,Ⅲ ,Ⅳ ,  
247,四川宜宾凉姜沟 ,岷江（入长江前） ,8.26 ,8.3 ,2.2 ,0.11 ,Ⅱ ,Ⅲ ,  
248,四川泸州沱江二桥 ,沱江（入长江前） ,7.16 ,8.1 ,0.6 ,0.04 ,Ⅰ ,Ⅲ ,  
249,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.52 ,7.5 ,2 ,0.08 ,Ⅰ ,Ⅰ ,  
250,湖南长沙新港 ,湘江（洞庭湖入口） ,6.73 ,7.15 ,0.9 ,0.76 ,Ⅲ ,Ⅲ ,  
251,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.88 ,8.38 ,4.9 ,0.31 ,Ⅲ ,Ⅳ ,  
252,湖北武汉宗关 ,汉江（入长江前） ,8.03 ,6.85 ,3.8 ,0.18 ,Ⅱ ,Ⅲ ,  
253,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.67 ,4.88 ,2.7 ,1.62 ,Ⅴ ,Ⅳ ,  
254,江西九江蛤蟆石 ,鄱阳湖出口 ,7.33 ,6.82 ,2.5 ,0.21 ,Ⅱ ,Ⅱ ,氨氮 
255,江苏扬州三江营 ,夹江（南水北调取水口） ,7.73 ,6.68 ,5.2 ,0.48 ,Ⅲ ,Ⅱ ,
