序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,水流量,水流速
188,四川攀枝花龙洞,干流,8.23,9.09,4.3,0.07,Ⅲ,Ⅱ,,3720,3.7
189,重庆朱沱,干流（川-渝省界）,7.64,7.77,2.2,0.27,Ⅱ,Ⅱ,,13100,1.9
190,湖北宜昌南津关,干流（三峡水库出口）,7.7,9.76,3,0.3,Ⅱ,Ⅱ,,19800,0.8
191,湖南岳阳城陵矶,干流,7.25,11.5,3.6,0.32,Ⅱ,Ⅱ,,20500,0.9
192,江西九江河西水厂,干流（鄂-赣省界）,7.37,7.05,3.1,0.22,Ⅱ,Ⅱ,,29800,1.1
193,安徽安庆皖河口,干流,7.23,6.52,3.2,0.25,Ⅱ,Ⅱ,,34000,1.1
194,江苏南京林山,干流（皖-苏省界）,7.6,6.47,1.8,0.09,Ⅱ,Ⅱ,,34500,1.2
195,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.16,4.47,5,0.91,Ⅳ,Ⅳ,,,
196,四川宜宾凉姜沟,岷江（入长江前）,8.18,7.37,3.6,0.07,Ⅱ,Ⅲ,溶解氧,,
197,四川泸州沱江二桥,沱江（入长江前）,8.16,4.95,4.2,0.85,Ⅳ,劣Ⅴ,,,
198,湖北丹江口胡家岭,丹江口水库（库体）,7.33,9.23,1.7,0.06,Ⅰ,Ⅰ,溶解氧,,
199,湖南长沙新港,湘江（洞庭湖入口）,7.61,6.9,1.9,1.21,Ⅳ,Ⅳ,,,
200,湖南岳阳岳阳楼,洞庭湖出口,7.92,8.8,3.5,0.34,Ⅱ,Ⅱ,氨氮,,
201,湖北武汉宗关,汉江（入长江前）,7.89,8.01,2.4,0.19,Ⅱ,Ⅱ,,,
202,江西南昌滁槎,赣江（鄱阳湖入口）,6.64,5.55,0.6,1.48,Ⅳ,Ⅲ,,,
203,江西九江蛤蟆石,鄱阳湖出口,7.43,5.83,3.9,0.28,Ⅲ,Ⅱ,氨氮,,
204,江苏扬州三江营,夹江（南水北调取水口）,7.19,6.65,4.1,0.38,Ⅲ,Ⅱ,,,
