序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
35,四川攀枝花龙洞,干流,8.24,8.1,0.5,0.15,I,III,
36,重庆朱沱,干流（川-渝省界）,7.73,8.55,1.8,0.2,II,II,
37,湖北宜昌南津关,干流（三峡水库出口）,7.8,6.65,2.8,0.31,II,III,
38,湖南岳阳城陵矶,干流,7.89,7.92,2.6,0.32,II,II,
39,江西九江河西水厂,干流（鄂-赣省界）,8.57,6.88,3,0.08,II,II,
40,安徽安庆皖河口,干流,7.61,7.07,2,0.32,II,II,
41,江苏南京林山,干流（皖-苏省界）,7.59,6.47,2,0.12,II,II,
42,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.57,5.49,4.7,1.93,V,IV,氨氮
43,四川宜宾凉姜沟,岷江（入长江前）,7.77,8.67,4,0.34,II,IV,
44,四川泸州沱江二桥,沱江（入长江前）,7.19,7.16,2.4,0.39,II,IV,
45,湖北丹江口胡家岭,丹江口水库（库体）,7.72,9.03,2.5,0.07,II,I,
46,湖南长沙新港,湘江（洞庭湖入口）,6.29,4.34,2.9,0.92,IV,II,溶解氧
47,湖南岳阳岳阳楼,洞庭湖出口,7.25,8.32,3.7,0.37,II,II,
48,湖北武汉宗关,汉江（入长江前）,7.91,5.87,3.6,0.25,III,III,
49,江西南昌滁槎,赣江（鄱阳湖入口）,6.78,5.35,1.7,2.18,劣V,IV,氨氮
50,江西九江蛤蟆石,鄱阳湖出口,6.7,6.67,3.5,0.16,II,II,
51,江苏扬州三江营,夹江（南水北调取水口）,7.09,6.02,3.8,0.19,II,IV,
