,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,137,四川攀枝花龙洞,干流,0.022386997541394418,0.07152945085984881,0.09164149043303121,0.061082905823874975,Ⅳ ,Ⅱ ,,0.06182202688123796
1,1,138,重庆朱沱 ,干流（川-渝省界） ,0.03530257304604506,0.06812328653318933,0.08358509566968782,0.06273092155976716,Ⅲ ,Ⅱ ,氨氮 ,0.06254778566857608
2,2,139,湖北宜昌南津关 ,干流（三峡水库出口） ,0.03746395506927229,0.062307884024258554,0.060422960725075525,0.06366125302357725,Ⅱ ,Ⅱ ,  ,0.05611582299825511
3,3,140,湖南岳阳城陵矶 ,干流 ,0.03530257304604506,0.05956633712719118,0.05438066465256799,0.06347518673081523,Ⅲ ,Ⅲ ,  ,0.053353308473030936
4,4,141,江西九江河西水厂 ,干流（鄂-赣省界） ,0.12587363882884142,0.05142477361468806,0.0715005035246727,0.06374099572047527,Ⅱ ,Ⅱ ,  ,0.07774054199323854
5,5,142,安徽安庆皖河口 ,干流 ,0.0370855312806938,0.06529866245742295,0.07653575025176233,0.06347518673081523,Ⅱ ,Ⅱ ,  ,0.06071723847574442
6,6,143,江苏南京林山 ,干流（皖-苏省界） ,0.03746395506927229,0.07576638697349838,0.07754279959718027,0.06355492942771325,Ⅱ ,Ⅱ ,  ,0.06371931752153509
7,7,144,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.03307628465575391,0.03306471712220654,0.0,0.05919566199728875,Ⅴ ,Ⅴ ,  ,0.03157320556932307
8,8,145,四川宜宾凉姜沟 ,岷江（入长江前） ,0.11359328382114961,0.10982803024009306,0.07049345417925479,0.06177400919699104,Ⅲ ,Ⅴ ,氨氮 ,0.0887159363330959
9,9,146,四川泸州沱江二桥 ,沱江（入长江前） ,0.08932038089500445,0.04610783417795133,0.04028197381671701,0.05874378671486669,劣Ⅴ ,Ⅴ ,  ,0.05846153583874483
10,10,147,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.1010495668840923,0.059981723020686224,0.07754279959718027,0.06403338560910131,Ⅰ ,Ⅱ ,氨氮 ,0.07540152806307356
11,11,148,湖南长沙新港 ,湘江（洞庭湖入口） ,0.11359328382114961,0.03829857938024425,0.07754279959718027,0.06110948672284096,Ⅳ ,Ⅳ ,  ,0.07225042956288547
12,12,149,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.08932038089500445,0.056243249979230726,0.05538771399798591,0.06344860583184923,Ⅱ ,Ⅱ ,氨氮 ,0.06595987254797257
13,13,150,湖北武汉宗关 ,汉江（入长江前） ,0.03085266888057718,0.06205865248816152,0.059415911379657606,0.06352834852874724,Ⅱ ,Ⅱ ,  ,0.054153913604438594
14,14,151,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.0370855312806938,0.0,0.005035246727089623,0.0,劣Ⅴ ,劣Ⅴ ,  ,0.010309924276456276
15,15,152,江西九江蛤蟆石 ,鄱阳湖出口 ,0.031380064929817805,0.06662789731660713,0.027190332326283987,0.06275750245873316,Ⅳ ,Ⅲ ,溶解氧、氨氮 ,0.047263406661733176
16,16,153,江苏扬州三江营 ,夹江（南水北调取水口） ,0.029849330055192552,0.07377253468472211,0.0715005035246727,0.06368783392254326,Ⅱ ,Ⅱ ,高锰酸盐指数 ,0.059894205530658384
