,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,1,四川攀枝花,干流,0.04863563697380393,0.06188780053428317,0.10810810810810811,0.08205128205128207,II ,Ⅱ ,,0.07499344371215794
1,1,2,重庆朱沱 ,干流（川-渝省界） ,0.04310474709468992,0.09772929652715942,0.05791505791505791,0.061538461538461535,II ,Ⅱ ,  ,0.06488844885609583
2,2,3,湖北宜昌南津关 ,干流（三峡水库出口） ,0.11127178304069277,0.08437221727515583,0.0,0.043589743589743594,III ,Ⅲ ,  ,0.06014873444472362
3,3,4,湖南岳阳城陵矶 ,干流 ,0.05214731308752701,0.054541406945681215,0.05598455598455599,0.061538461538461535,II ,Ⅱ ,  ,0.056033042621678866
4,4,5,江西九江河西水厂 ,干流（鄂-赣省界） ,0.08579407027017677,0.04830810329474623,0.07915057915057915,0.0794871794871795,II ,Ⅱ ,  ,0.07329971753771339
5,5,6,安徽安庆皖河口 ,干流 ,0.06192306010681046,0.056099732858414963,0.05019305019305018,0.0717948717948718,II ,Ⅱ ,  ,0.06003580345008644
6,6,7,江苏南京林山 ,干流（皖-苏省界） ,0.036789257833305715,0.06411398040961712,0.05212355212355212,0.08119658119658121,II ,Ⅱ ,  ,0.058426071009452116
7,7,8,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.04111740581369463,0.004007123775601081,0.0,0.04529914529914531,IV ,Ⅳ ,溶解氧 ,0.022784092421406194
8,8,9,四川宜宾凉姜沟 ,岷江（入长江前） ,0.03061295907296973,0.08036509349955478,0.06563706563706564,0.06923076923076923,II ,Ⅱ ,,0.06123664317761593
9,9,10,四川泸州沱江二桥 ,沱江（入长江前） ,0.04310474709468992,0.0,0.04247104247104246,0.0,IV ,Ⅳ ,溶解氧、氨氮 ,0.021533597839638777
10,10,11,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.02107525323113995,0.13757791629563668,0.07722007722007722,0.08205128205128207,I ,Ⅰ ,,0.07902602786374734
11,11,12,湖南长沙新港 ,湘江（洞庭湖入口） ,0.07606153720081527,0.054096170970614435,0.02895752895752895,0.005982905982905987,III ,Ⅲ ,  ,0.041471579289986515
12,12,13,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.03847683846786101,0.04986642920747996,0.08494208494208495,0.07264957264957267,II ,Ⅲ ,  ,0.061337575138896996
13,13,14,湖北武汉宗关 ,汉江（入长江前） ,0.03083805436027097,0.05365093499554764,0.06563706563706564,0.07606837606837606,II ,Ⅱ ,  ,0.056390001607859286
14,14,15,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.09542406324099477,0.025823686553873557,0.09073359073359072,0.011965811965811963,III ,Ⅲ ,  ,0.056228370696688776
15,15,16,江西九江蛤蟆石 ,鄱阳湖出口 ,0.09233649527791418,0.06344612644701693,0.05984555984555984,0.07777777777777779,II ,Ⅱ ,  ,0.0735021796937308
16,16,17,江苏扬州三江营 ,夹江（南水北调取水口） ,0.0912867778326429,0.06411398040961712,0.08108108108108107,0.07777777777777779,II ,Ⅱ ,  ,0.07866467063852127
