,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,103,四川攀枝花龙洞,干流,0.01814495232764781,0.06589649888011319,0.0665236051502146,0.06485706304125151,Ⅱ ,Ⅰ ,,0.05451351744391676
1,1,104,重庆朱沱 ,干流（川-渝省界） ,0.029757721817342413,0.0778026641518331,0.08154506437768241,0.06322748859297884,Ⅱ ,Ⅱ ,  ,0.06367273027092289
2,2,105,湖北宜昌南津关 ,干流（三峡水库出口） ,0.025433950271232846,0.06872568666745257,0.0740343347639485,0.0642517925318931,Ⅱ ,Ⅱ ,  ,0.058705975811525826
3,3,106,湖南岳阳城陵矶 ,干流 ,0.027300662217745332,0.05351880231050336,0.03969957081545064,0.06369308129248533,Ⅲ ,Ⅱ ,  ,0.046421497482665865
4,4,107,江西九江河西水厂 ,干流（鄂-赣省界） ,0.12129814226497679,0.056583755746787694,0.06759656652360516,0.06429835180184373,Ⅱ ,Ⅱ ,  ,0.07664368176494117
5,5,108,安徽安庆皖河口 ,干流 ,0.03270079320587079,0.05740893551809502,0.06545064377682404,0.06364652202253468,Ⅱ ,Ⅱ ,  ,0.05521850055865232
6,6,109,江苏南京林山 ,干流（皖-苏省界） ,0.026808758394002173,0.060709654603324295,0.06437768240343347,0.06397243691218922,Ⅱ ,Ⅱ ,  ,0.054473577101197504
7,7,110,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.026103264752054763,0.03076741718731581,0.0,0.058990595027469964,Ⅳ ,Ⅳ ,高锰酸盐指数、氨氮 ,0.029076619392106384
8,8,111,四川宜宾凉姜沟 ,岷江（入长江前） ,0.07450386905667469,0.08016032064128258,0.059012875536480686,0.05745413911909861,Ⅴ ,Ⅲ ,氨氮 ,0.06762578640840448
9,9,112,四川泸州沱江二桥 ,沱江（入长江前） ,0.104083055661164,0.0,0.056866952789699575,0.058804357947667356,Ⅳ ,Ⅲ ,溶解氧、氨氮 ,0.054114627905198706
10,10,113,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.1333131021265654,0.07544500766238359,0.07081545064377684,0.06457770742154761,Ⅱ ,Ⅱ ,  ,0.08514670681159225
11,11,114,湖南长沙新港 ,湘江（洞庭湖入口） ,0.13218604218791058,0.03949074619827892,0.0740343347639485,0.058711239407766076,Ⅳ ,Ⅳ ,氨氮 ,0.07509176437841758
12,12,115,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.12355848489779231,0.05363668513497584,0.047210300429184546,0.06383275910233728,Ⅲ ,Ⅱ ,  ,0.0711274345294455
13,13,116,湖北武汉宗关 ,汉江（入长江前） ,0.02633426709499329,0.07155487445479193,0.059012875536480686,0.06411211472204115,Ⅱ ,Ⅲ ,  ,0.05577898494963815
14,14,117,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.045011680059845634,0.046799481315572315,0.06545064377682404,0.0,劣Ⅴ ,劣Ⅴ ,氨氮 ,0.03912333480105775
15,15,118,江西九江蛤蟆石 ,鄱阳湖出口 ,0.029463090908259812,0.07426617941765885,0.03648068669527897,0.062063506844212676,Ⅲ ,Ⅲ ,,0.05094896128398596
16,16,119,江苏扬州三江营 ,夹江（南水北调取水口） ,0.023998162755921322,0.08723329010963103,0.07188841201716739,0.06350684421268274,Ⅱ ,Ⅱ ,  ,0.062316299106330894
