,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,154,四川攀枝花龙洞,干流,0.03452623332713057,0.0709685566359389,0.06684256816182937,0.06931715502775268,Ⅱ ,Ⅳ ,,0.06019739568199663
1,1,155,重庆朱沱 ,干流（川-渝省界） ,0.05251877745535358,0.06478090668013639,0.06596306068601583,0.06557377049180328,Ⅱ ,Ⅲ ,,0.062144110918173456
2,2,156,湖北宜昌南津关 ,干流（三峡水库出口） ,0.06658630713089471,0.10417982068442985,0.05540897097625331,0.06544468826642572,Ⅱ ,Ⅱ ,,0.07252133490373125
3,3,157,湖南岳阳城陵矶 ,干流 ,0.055241973323408924,0.06553857810329587,0.05364995602462621,0.0677681683232219,Ⅱ ,Ⅲ ,,0.06047241191603889
4,4,158,江西九江河西水厂 ,干流（鄂-赣省界） ,0.0830719460128186,0.06654880666750851,0.06772207563764293,0.0681554149993546,Ⅱ ,Ⅱ ,,0.07147287318292
5,5,159,安徽安庆皖河口 ,干流 ,0.0632005627005102,0.048490971082207346,0.06156552330694811,0.06867174390086486,Ⅱ ,Ⅱ ,,0.06063005317237854
6,6,160,江苏南京林山 ,干流（皖-苏省界） ,0.046610414991626284,0.06566485667382246,0.07651715039577837,0.0673809216470892,Ⅱ ,Ⅱ ,,0.06396122182594
7,7,161,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.08796221906112038,0.0,0.0,0.04685684781205628,Ⅴ ,Ⅴ ,,0.03428991336443174
8,8,162,四川宜宾凉姜沟 ,岷江（入长江前） ,0.040311710263028135,0.1395378204318727,0.06420404573438875,0.04517877888214793,Ⅴ ,Ⅲ ,氨氮 ,0.07141733131336712
9,9,163,四川泸州沱江二桥 ,沱江（入长江前） ,0.08972734720281508,0.012880414193711326,0.05364995602462621,0.0,劣Ⅴ ,劣Ⅴ ,氨氮 ,0.039552656101172805
10,10,164,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.04971777599106806,0.07349412804647053,0.07036059806508355,0.06931715502775268,Ⅰ ,Ⅰ ,氨氮 ,0.06557444850325458
11,11,165,湖南长沙新港 ,湘江（洞庭湖入口） ,0.06014247095693715,0.02285642126531127,0.06508355321020229,0.05550535691235317,Ⅳ ,Ⅳ ,  ,0.05125398847791377
12,12,166,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.07127373481237026,0.025887106957949234,0.048372911169744945,0.06673551052020137,Ⅲ ,Ⅱ ,氨氮 ,0.05344639462000481
13,13,167,湖北武汉宗关 ,汉江（入长江前） ,0.04310789825815148,0.06616997095592878,0.06156552330694811,0.0677681683232219,Ⅱ ,Ⅱ ,  ,0.05951719683022362
14,14,168,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.061084874348000265,0.031317085490592235,0.07387862796833775,0.04401703885374984,劣Ⅴ ,劣Ⅴ ,  ,0.05285119956627936
15,15,169,江西九江蛤蟆石 ,鄱阳湖出口 ,0.04519797817369822,0.0686955423664604,0.044854881266490766,0.06389570156189493,Ⅲ ,Ⅳ ,氨氮 ,0.055472119630040985
16,16,170,江苏扬州三江营 ,夹江（南水北调取水口） ,0.04971777599106806,0.0729890137643642,0.07036059806508355,0.06841357945010972,Ⅱ ,Ⅱ ,  ,0.06522534999213239
