,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,69,四川攀枝花龙洞,干流,0.0,0.07109111361079865,0.06016597510373445,0.06438161106590724,Ⅱ ,I ,,0.053093673291395485
1,1,70,重庆朱沱 ,干流（川-渝省界） ,0.0,0.08053993250843644,0.08091286307053941,0.06326281529698942,Ⅱ ,II ,  ,0.060836289291153076
2,2,71,湖北宜昌南津关 ,干流（三峡水库出口） ,0.175788101735126,0.14533183352080992,0.07468879668049794,0.06346623270951993,Ⅱ ,II ,  ,0.10897933779788456
3,3,72,湖南岳阳城陵矶 ,干流 ,0.0,0.057817772778402686,0.0,0.06336452400325468,Ⅲ ,II ,  ,0.03318061829723186
4,4,73,江西九江河西水厂 ,干流（鄂-赣省界） ,0.12453626158990487,0.049943757030371204,0.05601659751037345,0.06478844589096826,Ⅱ ,II ,  ,0.06958487659983889
5,5,74,安徽安庆皖河口 ,干流 ,0.0,0.049718785151856015,0.06431535269709544,0.06326281529698942,Ⅱ ,III ,  ,0.04822840383670771
6,6,75,江苏南京林山 ,干流（皖-苏省界） ,0.0,0.0326209223847019,0.08506224066390042,0.06448331977217248,Ⅱ ,II ,  ,0.04959920121832333
7,7,76,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.0,0.008548931383577039,0.006224066390041484,0.058380797396257116,Ⅲ ,IV ,  ,0.020392175324049175
8,8,77,四川宜宾凉姜沟 ,岷江（入长江前） ,0.0,0.10483689538807649,0.07053941908713693,0.06285598047192839,Ⅱ ,II ,  ,0.0643794246455972
9,9,78,四川泸州沱江二桥 ,沱江（入长江前） ,0.08022076071245804,0.03667041619797525,0.0,0.0614320585842148,Ⅲ ,III ,  ,0.04190726349615198
10,10,79,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.07594938713390904,0.0670416197975253,0.08091286307053941,0.06489015459723352,Ⅱ ,II ,  ,0.07180076048101536
11,11,80,湖南长沙新港 ,湘江（洞庭湖入口） ,0.03767787987010919,0.0,0.07883817427385893,0.05471928397070788,Ⅳ ,III ,氨氮 ,0.04352462901483351
12,12,81,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.07594938713390904,0.10191226096737908,0.06639004149377593,0.06366965012205043,Ⅱ ,II ,  ,0.07680404571234345
13,13,82,湖北武汉宗关 ,汉江（入长江前） ,0.0,0.044544431946006734,0.07053941908713693,0.061635475996745306,Ⅱ ,II ,  ,0.04806563526147226
14,14,83,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.2125058379585678,0.017097862767154092,0.08713692946058092,0.0,劣Ⅴ ,劣V ,氨氮 ,0.06725955862799154
15,15,84,江西九江蛤蟆石 ,鄱阳湖出口 ,0.21737238386601598,0.07469066366704162,0.053941908713692956,0.06346623270951993,Ⅱ ,II ,,0.09242292920078576
16,16,85,江苏扬州三江营 ,夹江（南水北调取水口） ,0.0,0.05759280089988752,0.06431535269709544,0.06194060211554109,Ⅱ ,III ,,0.04994117790322475
