,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,392,四川攀枝花龙洞,干流,0.028372804436424568,0.09429997373259787,0.0628140703517588,0.0811485642946317,Ⅱ  ,Ⅰ  ,,0.06625017084462304
1,1,393,重庆朱沱 ,干流（川-渝省界） ,0.04482903100955083,0.0696086157079065,0.09296482412060302,0.026217228464419467,Ⅲ  ,Ⅲ  ,,0.058170888940563284
2,2,394,湖北宜昌南津关 ,干流（三峡水库出口） ,0.04482903100955083,0.08116627265563436,0.06532663316582915,0.06242197253433209,Ⅱ  ,Ⅱ  ,,0.06319582783006548
3,3,395,湖南岳阳城陵矶 ,干流 ,0.042291538688255505,0.16312056737588654,0.05025125628140703,0.06616729088639202,Ⅱ  ,Ⅱ  ,,0.07968005345142498
4,4,396,江西九江河西水厂 ,干流（鄂-赣省界） ,0.08020668023952521,0.06908326766482795,0.07537688442211055,0.0811485642946317,Ⅱ  ,Ⅰ  ,,0.07653324615603238
5,5,397,安徽安庆皖河口 ,干流 ,0.08278088112559107,0.04885736800630418,0.052763819095477386,0.0536828963795256,Ⅱ  ,Ⅱ  ,,0.059741769549888586
6,6,398,江苏南京林山 ,干流（皖-苏省界） ,0.054228666543811484,0.03362227475702654,0.09045226130653265,0.08489388264669163,Ⅱ  ,Ⅱ  ,,0.06593406042731638
7,7,399,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.07375196756998696,0.03729971105857631,0.007537688442211048,0.0387016229712859,Ⅲ  ,Ⅳ  ,,0.039589824452294975
8,8,400,四川宜宾凉姜沟 ,岷江（入长江前） ,0.03015405673288172,0.061465721040189124,0.07035175879396985,0.0749063670411985,Ⅱ  ,Ⅱ  ,,0.059024024907137124
9,9,401,四川泸州沱江二桥 ,沱江（入长江前） ,0.051725805011020205,0.09219858156028371,0.02763819095477387,0.029962546816479398,Ⅱ  ,Ⅱ  ,,0.050113419965717665
10,10,402,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.04283028440402945,0.0809035986340951,0.07788944723618091,0.0811485642946317,Ⅰ  ,Ⅰ  ,,0.07045065321443245
11,11,403,湖南长沙新港 ,湘江（洞庭湖入口） ,0.10129181160984663,0.022064617809298647,0.06532663316582915,0.023720349563046188,Ⅲ  ,Ⅲ  ,,0.05357003202162529
12,12,404,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.09753544717987082,0.035723666929340696,0.0,0.06991260923845194,Ⅲ  ,Ⅲ  ,,0.051267790910551544
13,13,405,湖北武汉宗关 ,汉江（入长江前） ,0.04075366455413712,0.029419490412398205,0.06532663316582915,0.0749063670411985,Ⅲ  ,Ⅱ  ,,0.052691037144033906
14,14,406,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.07351135694891822,0.0,0.0829145728643216,0.0,Ⅳ  ,Ⅲ  ,,0.03949656650716804
15,15,407,江西九江蛤蟆石 ,鄱阳湖出口 ,0.07659904104153512,0.04728132387706854,0.08040201005025127,0.07990012484394508,Ⅱ  ,Ⅱ  ,溶解氧  ,0.0712390423737345
16,16,408,江苏扬州三江营 ,夹江（南水北调取水口） ,0.0343079318950644,0.0338849487785658,0.03266331658291456,0.07116104868913858,Ⅱ  ,Ⅱ  ,,0.04305159130339038
