,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,426,四川攀枝花龙洞,干流,0.033452176221773565,0.08914596801633208,0.00956937799043063,0.070242656449553,Ⅱ  ,Ⅱ  ,,0.05106913243139827
1,1,427,重庆朱沱 ,干流（川-渝省界） ,0.02892219402507506,0.0813201769309289,0.07177033492822966,0.06385696040868455,Ⅱ  ,Ⅱ  ,   ,0.061364336609894474
2,2,428,湖北宜昌南津关 ,干流（三峡水库出口） ,0.04746206198986675,0.06158557332425996,0.07655502392344499,0.06577266922094509,Ⅱ  ,Ⅱ  ,   ,0.06270944547042033
3,3,429,湖南岳阳城陵矶 ,干流 ,0.03995008095549936,0.0905069751616196,0.052631578947368425,0.04916985951468711,Ⅱ  ,Ⅲ  ,   ,0.05809524850315611
4,4,430,江西九江河西水厂 ,干流（鄂-赣省界） ,0.07370840624465742,0.06464783940115686,0.052631578947368425,0.07088122605363985,Ⅱ  ,Ⅱ  ,   ,0.06561303447110253
5,5,431,安徽安庆皖河口 ,干流 ,0.09675295196728073,0.06362708404219122,0.0478468899521531,0.05938697318007663,Ⅱ  ,Ⅱ  ,   ,0.06708253811230422
6,6,432,江苏南京林山 ,干流（皖-苏省界） ,0.06423702337484143,0.06073494385845526,0.01913875598086126,0.06896551724137932,Ⅱ  ,Ⅱ  ,   ,0.0536586300004188
7,7,433,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.08482581291805975,0.03147329023477374,0.0,0.053639846743295014,Ⅲ  ,Ⅱ  ,   ,0.0429518893024096
8,8,434,四川宜宾凉姜沟 ,岷江（入长江前） ,0.028188128186875182,0.0639673358285131,0.043062200956937816,0.07151979565772669,Ⅱ  ,Ⅱ  ,   ,0.05181987725343762
9,9,435,四川泸州沱江二桥 ,沱江（入长江前） ,0.04372489175444418,0.05665192242259272,0.09090909090909093,0.06896551724137932,Ⅱ  ,Ⅱ  ,   ,0.06480635921478645
10,10,436,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.04175234024672488,0.07230350459339913,0.10526315789473685,0.07088122605363985,Ⅰ  ,Ⅰ  ,   ,0.07220815786268102
11,11,437,湖南长沙新港 ,湘江（洞庭湖入口） ,0.11573901004563254,0.0522286492004083,0.11483253588516748,0.037675606641123884,Ⅲ  ,Ⅱ  ,   ,0.07966119036757667
12,12,438,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.03803466611516719,0.07757740728138823,0.052631578947368425,0.05044699872286079,Ⅱ  ,Ⅱ  ,   ,0.05468071363732037
13,13,439,湖北武汉宗关 ,汉江（入长江前） ,0.041133787057884535,0.0343654304185097,0.01913875598086126,0.06704980842911877,Ⅲ  ,Ⅳ  ,   ,0.04070691078453968
14,14,440,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.08996211123470807,0.0,0.09569377990430622,0.0,Ⅳ  ,Ⅳ  ,   ,0.045798432392920044
15,15,441,江西九江蛤蟆石 ,鄱阳湖出口 ,0.08737160562268347,0.05103776794828173,0.06220095693779906,0.06577266922094509,Ⅱ  ,Ⅱ  ,氨氮，溶解氧  ,0.06664106487589816
16,16,442,江苏扬州三江营 ,夹江（南水北调取水口） ,0.04478275203882591,0.04882613133718953,0.0861244019138756,0.06577266922094509,Ⅱ  ,Ⅲ  ,   ,0.06113303870973573
